User: USER,,
Path: C:\Program Files (x86)\BMG\CLARIOstar\User\Data\,,
Test ID: 353,,
Test Name: LUKA,,
Date: 20/10/2021,,
Time: 12:16:24,,
Fluorescence (FI),,
,,
,,
Well,Content, Raw Data (360-20/450-30)
A01,Sample X1,24740
A02,Sample X2,19793
A03,Sample X3,19810
A04,Sample X4,38297
A05,Sample X5,36044
A06,Sample X6,36066
A07,Sample X7,68022
A08,Sample X8,58239
A09,Sample X9,56596
A10,Sample X10,98330
A11,Sample X11,97505
A12,Sample X12,98176
B01,Sample X13,133640
B02,Sample X14,150488
B03,Sample X15,132443
B04,Sample X16,227699
B05,Sample X17,228680
B06,Sample X18,236426
B07,Sample X19,260000
B08,Sample X20,260000
B09,Sample X21,260000
B10,Sample X22,260000
B11,Sample X23,260000
B12,Sample X24,260000
C01,Sample X25,260000
C02,Sample X26,260000
C03,Sample X27,260000
C04,Sample X28,260000
C05,Sample X29,260000
C06,Sample X30,260000
C07,Sample X31,260000
C08,Sample X32,260000
C09,Sample X33,260000
C10,Sample X34,260000
C11,Sample X35,260000
C12,Sample X36,260000
D01,Sample X37,32269
D02,Sample X38,12873
D03,Sample X39,12372
D04,Sample X40,110139
D05,Sample X41,58424
D06,Sample X42,50563
D07,Sample X43,38267
D08,Sample X44,22715
D09,Sample X45,40025
D10,Sample X46,168414
D11,Sample X47,18656
D12,Sample X48,12611
E01,Sample X49,42329
E02,Sample X50,15542
E03,Sample X51,13067
E04,Sample X52,225260
E05,Sample X53,30907
E06,Sample X54,15667
E07,Sample X55,23682
E08,Sample X56,22340
E09,Sample X57,22519
E10,Sample X58,19599
E11,Sample X59,18129
E12,Sample X60,21176
F01,Sample X61,26459
F02,Sample X62,25368
F03,Sample X63,24916
F04,Sample X64,40091
F05,Sample X65,39423
F06,Sample X66,38298
F07,Sample X67,36416
F08,Sample X68,34281
F09,Sample X69,33114
F10,Sample X70,49517
F11,Sample X71,34447
F12,Sample X72,34505
G01,Sample X73,122460
G02,Sample X74,122089
G03,Sample X75,120123
G04,Sample X76,149203
G05,Sample X77,136342
G06,Sample X78,131502
G07,Sample X79,58618
G08,Sample X80,54307
G09,Sample X81,56008
G10,Sample X82,49000
G11,Sample X83,51380
G12,Sample X84,50709
