User: USER,,
Path: C:\Program Files (x86)\BMG\CLARIOstar\User\Data\,,
Test ID: 370,,
Test Name: LUKA,,
Date: 28/10/2021,,
Time: 13:18:14,,
ID1: selected gain adjustment,,
Fluorescence (FI),,
,,
,,
Well,Content, Raw Data (360-20/450-30)
A01,Sample X1,18222
A02,Sample X2,19275
A03,Sample X3,19259
A04,Sample X4,21219
A05,Sample X5,21454
A06,Sample X6,22046
A07,Sample X7,34155
A08,Sample X8,30739
A09,Sample X9,30098
A10,Sample X10,40782
A11,Sample X11,42019
A12,Sample X12,41540
B01,Sample X13,50201
B02,Sample X14,54432
B03,Sample X15,53587
B04,Sample X16,71804
B05,Sample X17,67011
B06,Sample X18,67695
B07,Sample X19,136995
B08,Sample X20,142234
B09,Sample X21,144295
B10,Sample X22,222326
B11,Sample X23,233108
B12,Sample X24,232717
C01,Sample X25,260000
C02,Sample X26,260000
C03,Sample X27,260000
C04,Sample X28,260000
C05,Sample X29,260000
C06,Sample X30,260000
C07,Sample X31,260000
C08,Sample X32,260000
C09,Sample X33,260000
C10,Sample X34,260000
C11,Sample X35,260000
C12,Sample X36,260000
D01,Sample X37,70901
D02,Sample X38,65960
D03,Sample X39,35721
D04,Sample X40,30491
D05,Sample X41,29489
D06,Sample X42,32315
D07,Sample X43,35485
D08,Sample X44,40517
D09,Sample X45,123726
D10,Sample X46,119689
D11,Sample X47,101064
D12,Sample X48,121202
E01,Sample X49,71694
E02,Sample X50,136921
E03,Sample X51,211538
E04,Sample X52,50417
E05,Sample X53,35560
E06,Sample X54,33002
E07,Sample X55,33638
E08,Sample X56,29394
E09,Sample X57,102220
E10,Sample X58,164718
E11,Sample X59,77127
E12,Sample X60,107097
F01,Sample X61,103318
F02,Sample X62,35078
F03,Sample X63,70304
F04,Sample X64,69867
F05,Sample X65,64020
F06,Sample X66,51684
F07,Sample X67,4425
F08,Sample X68,2407
F09,Sample X69,2445
F10,Sample X70,8245
F11,Sample X71,3087
F12,Sample X72,2760
