User: USER,,
Path: C:\Program Files (x86)\BMG\CLARIOstar\User\Data\,,
Test ID: 368,,
Test Name: LUKA,,
Date: 28/10/2021,,
Time: 12:54:47,,
ID1: selected gain adjustment,,
Fluorescence (FI),,
,,
,,
Well,Content, Raw Data (360-20/450-30)
A01,Sample X1,21450
A02,Sample X2,23644
A03,Sample X3,20097
A04,Sample X4,22833
A05,Sample X5,22799
A06,Sample X6,21805
A07,Sample X7,29265
A08,Sample X8,31149
A09,Sample X9,30259
A10,Sample X10,62015
A11,Sample X11,39546
A12,Sample X12,39644
B01,Sample X13,51430
B02,Sample X14,53704
B03,Sample X15,54007
B04,Sample X16,231223
B05,Sample X17,83491
B06,Sample X18,71627
B07,Sample X19,140382
B08,Sample X20,143547
B09,Sample X21,145328
B10,Sample X22,234795
B11,Sample X23,234046
B12,Sample X24,233880
C01,Sample X25,260000
C02,Sample X26,260000
C03,Sample X27,260000
C04,Sample X28,260000
C05,Sample X29,260000
C06,Sample X30,260000
C07,Sample X31,260000
C08,Sample X32,260000
C09,Sample X33,260000
C10,Sample X34,260000
C11,Sample X35,260000
C12,Sample X36,260000
D01,Sample X37,44039
D02,Sample X38,47001
D03,Sample X39,41792
D04,Sample X40,46250
D05,Sample X41,47320
D06,Sample X42,30346
D07,Sample X43,30746
D08,Sample X44,29771
D09,Sample X45,32877
D10,Sample X46,30985
D11,Sample X47,155658
D12,Sample X48,158315
E01,Sample X49,157618
E02,Sample X50,156294
E03,Sample X51,157552
E04,Sample X52,56842
E05,Sample X53,58252
E06,Sample X54,62355
E07,Sample X55,60578
E08,Sample X56,64502
E09,Sample X57,37359
E10,Sample X58,37725
E11,Sample X59,37200
E12,Sample X60,37323
F01,Sample X61,37514
F02,Sample X62,33865
F03,Sample X63,33271
F04,Sample X64,33061
F05,Sample X65,36867
F06,Sample X66,48966
F07,Sample X67,3267
F08,Sample X68,3008
F09,Sample X69,3854
F10,Sample X70,3110
F11,Sample X71,3096
F12,Sample X72,3481
