User: USER,,
Path: C:\Program Files (x86)\BMG\CLARIOstar\User\Data\,,
Test ID: 380,,
Test Name: LUKA,,
Date: 03/11/2021,,
Time: 12:40:22,,
Fluorescence (FI),,
,,
,,
Well,Content, Raw Data (360-20/450-30)
A01,Sample X1,31751
A02,Sample X2,2050
A03,Sample X3,704
A04,Sample X4,868
A05,Sample X5,584
A06,Sample X6,649
A07,Sample X7,9171
A08,Sample X8,18064
A09,Sample X9,9197
A10,Sample X10,11496
A11,Sample X11,11494
A12,Sample X12,11574
B01,Sample X13,14347
B02,Sample X14,15453
B03,Sample X15,15151
B04,Sample X16,16608
B05,Sample X17,16602
B06,Sample X18,16607
B07,Sample X19,26331
B08,Sample X20,27107
B09,Sample X21,26676
B10,Sample X22,33352
B11,Sample X23,33839
B12,Sample X24,33985
C01,Sample X25,67697
C02,Sample X26,70357
C03,Sample X27,68415
C04,Sample X28,139221
C05,Sample X29,141690
C06,Sample X30,140958
C07,Sample X31,231279
C08,Sample X32,235776
C09,Sample X33,235469
C10,Sample X34,260000
C11,Sample X35,260000
C12,Sample X36,260000
D01,Sample X37,260000
D02,Sample X38,260000
D03,Sample X39,260000
D04,Sample X40,260000
D05,Sample X41,260000
D06,Sample X42,260000
D07,Sample X43,96964
D08,Sample X44,96523
D09,Sample X45,96636
D10,Sample X46,96961
D11,Sample X47,96844
D12,Sample X48,115266
E01,Sample X49,116811
E02,Sample X50,114676
E03,Sample X51,115057
E04,Sample X52,115122
E05,Sample X53,70985
E06,Sample X54,69225
E07,Sample X55,69424
E08,Sample X56,69028
E09,Sample X57,69035
E10,Sample X58,48642
E11,Sample X59,48244
E12,Sample X60,48198
F01,Sample X61,47429
F02,Sample X62,47525
F03,Sample X63,147384
F04,Sample X64,143108
F05,Sample X65,151891
F06,Sample X66,150275
F07,Sample X67,149639
F08,Sample X68,29692
F09,Sample X69,29145
F10,Sample X70,29261
F11,Sample X71,29448
F12,Sample X72,29619
G01,Sample X73,24785
G02,Sample X74,24116
G03,Sample X75,23409
G04,Sample X76,23679
G05,Sample X77,23889
G06,Sample X78,40359
G07,Sample X79,41832
G08,Sample X80,41853
G09,Sample X81,42958
G10,Sample X82,42730
G11,Sample X83,3095
G12,Sample X84,2900
H01,Sample X85,2724
H02,Sample X86,3428
H03,Sample X87,3402
H04,Sample X88,3424
H05,Sample X89,3503
