User: USER,,
Path: C:\Program Files (x86)\BMG\CLARIOstar\User\Data\,,
Test ID: 378,,
Test Name: LUKA,,
Date: 03/11/2021,,
Time: 12:16:01,,
Fluorescence (FI),,
,,
,,
Well,Content, Raw Data (360-20/450-30)
A01,Sample X1,2127
A02,Sample X2,1628
A03,Sample X3,1588
A04,Sample X4,1819
A05,Sample X5,1734
A06,Sample X6,1798
A07,Sample X7,34749
A08,Sample X8,45508
A09,Sample X9,31383
A10,Sample X10,39166
A11,Sample X11,41860
A12,Sample X12,39627
B01,Sample X13,52758
B02,Sample X14,53623
B03,Sample X15,52114
B04,Sample X16,65248
B05,Sample X17,57156
B06,Sample X18,57144
B07,Sample X19,90827
B08,Sample X20,99661
B09,Sample X21,90575
B10,Sample X22,111199
B11,Sample X23,116975
B12,Sample X24,130325
C01,Sample X25,230808
C02,Sample X26,236465
C03,Sample X27,237202
C04,Sample X28,260000
C05,Sample X29,260000
C06,Sample X30,260000
C07,Sample X31,260000
C08,Sample X32,260000
C09,Sample X33,260000
C10,Sample X34,260000
C11,Sample X35,260000
C12,Sample X36,260000
D01,Sample X37,260000
D02,Sample X38,260000
D03,Sample X39,260000
D04,Sample X40,260000
D05,Sample X41,260000
D06,Sample X42,260000
D07,Sample X43,136584
D08,Sample X44,136127
D09,Sample X45,136883
D10,Sample X46,116027
D11,Sample X47,119332
D12,Sample X48,125609
E01,Sample X49,36052
E02,Sample X50,36382
E03,Sample X51,37372
E04,Sample X52,80878
E05,Sample X53,83862
E06,Sample X54,81894
E07,Sample X55,139293
E08,Sample X56,143447
E09,Sample X57,120519
E10,Sample X58,120576
E11,Sample X59,32857
E12,Sample X60,37673
F01,Sample X61,83726
F02,Sample X62,84823
F03,Sample X63,77173
F04,Sample X64,65276
F05,Sample X65,68417
F06,Sample X66,67059
F07,Sample X67,68532
F08,Sample X68,36684
F09,Sample X69,38155
F10,Sample X70,38888
F11,Sample X71,35301
F12,Sample X72,39064
G01,Sample X73,65426
G02,Sample X74,63125
G03,Sample X75,61314
G04,Sample X76,65792
G05,Sample X77,66638
G06,Sample X78,80916
G07,Sample X79,72902
G08,Sample X80,75727
G09,Sample X81,73757
G10,Sample X82,79173
G11,Sample X83,10012
G12,Sample X84,11250
H01,Sample X85,26368
H02,Sample X86,22555
H03,Sample X87,14681
H04,Sample X88,25917
