User: USER,,
Path: C:\Program Files (x86)\BMG\CLARIOstar\User\Data\,,
Test ID: 366,,
Test Name: LUKA,,
Date: 28/10/2021,,
Time: 12:34:05,,
ID1: selected gain adjustment,,
Fluorescence (FI),,
,,
,,
Well,Content, Raw Data (360-20/450-30)
A01,Sample X1,16152
A02,Sample X2,12088
A03,Sample X3,11784
A04,Sample X4,11581
A05,Sample X5,12580
A06,Sample X6,11980
A07,Sample X7,16692
A08,Sample X8,17666
A09,Sample X9,17848
A10,Sample X10,23847
A11,Sample X11,24225
A12,Sample X12,25229
B01,Sample X13,30659
B02,Sample X14,31304
B03,Sample X15,31654
B04,Sample X16,39883
B05,Sample X17,38927
B06,Sample X18,38327
B07,Sample X19,80611
B08,Sample X20,82143
B09,Sample X21,82153
B10,Sample X22,136484
B11,Sample X23,138619
B12,Sample X24,137959
C01,Sample X25,227983
C02,Sample X26,235933
C03,Sample X27,236170
C04,Sample X28,260000
C05,Sample X29,260000
C06,Sample X30,260000
C07,Sample X31,260000
C08,Sample X32,260000
C09,Sample X33,260000
C10,Sample X34,260000
C11,Sample X35,260000
C12,Sample X36,260000
D01,Sample X37,42086
D02,Sample X38,42101
D03,Sample X39,42543
D04,Sample X40,42245
D05,Sample X41,42904
D06,Sample X42,177973
D07,Sample X43,177563
D08,Sample X44,149655
D09,Sample X45,160497
D10,Sample X46,176466
D11,Sample X47,139978
D12,Sample X48,140755
E01,Sample X49,189401
E02,Sample X50,154215
E03,Sample X51,170593
E04,Sample X52,101486
E05,Sample X53,97769
E06,Sample X54,98943
E07,Sample X55,108915
E08,Sample X56,120907
E09,Sample X57,141864
E10,Sample X58,137945
E11,Sample X59,147486
E12,Sample X60,143530
F01,Sample X61,155581
F02,Sample X62,113997
F03,Sample X63,113080
F04,Sample X64,114345
F05,Sample X65,107716
F06,Sample X66,109254
F07,Sample X67,3281
F08,Sample X68,1567
F09,Sample X69,1532
F10,Sample X70,1768
F11,Sample X71,1606
F12,Sample X72,1694
