User: USER,,
Path: C:\Program Files (x86)\BMG\CLARIOstar\User\Data\,,
Test ID: 384,,
Test Name: LUKA,,
Date: 03/11/2021,,
Time: 13:27:39,,
Fluorescence (FI),,
,,
,,
Well,Content, Raw Data (360-20/450-30)
A01,Sample X1,176
A02,Sample X2,161
A03,Sample X3,187
A04,Sample X4,166
A05,Sample X5,198
A06,Sample X6,177
A07,Sample X7,2469
A08,Sample X8,2484
A09,Sample X9,2909
A10,Sample X10,3248
A11,Sample X11,3292
A12,Sample X12,3318
B01,Sample X13,3889
B02,Sample X14,4348
B03,Sample X15,4105
B04,Sample X16,4782
B05,Sample X17,4583
B06,Sample X18,4752
B07,Sample X19,7265
B08,Sample X20,7342
B09,Sample X21,7575
B10,Sample X22,9484
B11,Sample X23,9373
B12,Sample X24,9361
C01,Sample X25,18480
C02,Sample X26,18890
C03,Sample X27,19364
C04,Sample X28,38909
C05,Sample X29,39823
C06,Sample X30,40300
C07,Sample X31,68731
C08,Sample X32,68918
C09,Sample X33,68686
C10,Sample X34,126298
C11,Sample X35,124144
C12,Sample X36,123317
D01,Sample X37,228537
D02,Sample X38,235060
D03,Sample X39,231028
D04,Sample X40,260000
D05,Sample X41,260000
D06,Sample X42,260000
D07,Sample X43,28390
D08,Sample X44,28474
D09,Sample X45,29024
D10,Sample X46,30095
D11,Sample X47,29783
D12,Sample X48,56094
E01,Sample X49,55557
E02,Sample X50,54487
E03,Sample X51,53393
E04,Sample X52,52973
E05,Sample X53,12369
E06,Sample X54,12553
E07,Sample X55,12520
E08,Sample X56,12677
E09,Sample X57,12625
E10,Sample X58,18248
E11,Sample X59,18603
E12,Sample X60,18316
F01,Sample X61,18608
F02,Sample X62,18592
F03,Sample X63,24337
F04,Sample X64,23576
F05,Sample X65,22730
F06,Sample X66,23491
F07,Sample X67,24190
F08,Sample X68,132688
F09,Sample X69,138460
F10,Sample X70,142116
F11,Sample X71,141141
F12,Sample X72,141798
G01,Sample X73,26207
G02,Sample X74,22915
G03,Sample X75,22658
G04,Sample X76,22333
G05,Sample X77,22648
G06,Sample X78,18010
G07,Sample X79,17915
G08,Sample X80,17923
G09,Sample X81,18143
G10,Sample X82,18160
G11,Sample X83,1225
G12,Sample X84,901
H01,Sample X85,919
H02,Sample X86,1020
H03,Sample X87,1015
H04,Sample X88,1013
