User: USER,,
Path: C:\Program Files (x86)\BMG\CLARIOstar\User\Data\,,
Test ID: 357,,
Test Name: LUKA,,
Date: 20/10/2021,,
Time: 12:46:50,,
Fluorescence (FI),,
,,
,,
Well,Content, Raw Data (360-20/450-30)
A01,Sample X1,22238
A02,Sample X2,37895
A03,Sample X3,21079
A04,Sample X4,41511
A05,Sample X5,48485
A06,Sample X6,40089
A07,Sample X7,66468
A08,Sample X8,65566
A09,Sample X9,61399
A10,Sample X10,109214
A11,Sample X11,117767
A12,Sample X12,107127
B01,Sample X13,168053
B02,Sample X14,143559
B03,Sample X15,146769
B04,Sample X16,235739
B05,Sample X17,239228
B06,Sample X18,237508
B07,Sample X19,260000
B08,Sample X20,260000
B09,Sample X21,260000
B10,Sample X22,260000
B11,Sample X23,260000
B12,Sample X24,260000
C01,Sample X25,260000
C02,Sample X26,260000
C03,Sample X27,260000
C04,Sample X28,260000
C05,Sample X29,260000
C06,Sample X30,260000
C07,Sample X31,260000
C08,Sample X32,260000
C09,Sample X33,260000
C10,Sample X34,260000
C11,Sample X35,260000
C12,Sample X36,260000
D01,Sample X37,14002
D02,Sample X38,13730
D03,Sample X39,12679
D04,Sample X40,73854
D05,Sample X41,60206
D06,Sample X42,48908
D07,Sample X43,56664
D08,Sample X44,22451
D09,Sample X45,20189
D10,Sample X46,12932
D11,Sample X47,12215
D12,Sample X48,13362
E01,Sample X49,12730
E02,Sample X50,14037
E03,Sample X51,13537
E04,Sample X52,27440
E05,Sample X53,21745
E06,Sample X54,17132
E07,Sample X55,21899
E08,Sample X56,21979
E09,Sample X57,22279
E10,Sample X58,18245
E11,Sample X59,18746
E12,Sample X60,18809
F01,Sample X61,26726
F02,Sample X62,24823
F03,Sample X63,25478
F04,Sample X64,40296
F05,Sample X65,38289
F06,Sample X66,40196
F07,Sample X67,260000
F08,Sample X68,218932
F09,Sample X69,60025
F10,Sample X70,61886
F11,Sample X71,34414
F12,Sample X72,33078
G01,Sample X73,120178
G02,Sample X74,123232
G03,Sample X75,119440
G04,Sample X76,160390
G05,Sample X77,138283
G06,Sample X78,135653
G07,Sample X79,81054
G08,Sample X80,62524
G09,Sample X81,59859
G10,Sample X82,51904
G11,Sample X83,50156
G12,Sample X84,53773
