ID,Experiment,Flask,Start,End,Species,Treatment,Days,Snail,Initial,Final
B_h3c,B,h3c,22.10.21 12:20,02.11.21 09:30,Laminaria hyperborea,Autogenic control,11,NA,3.274,2.851
B_h4c,B,h4c,22.10.21 12:20,02.11.21 09:30,Laminaria hyperborea,Autogenic control,11,NA,3.526,3.074
B_l1g,B,l1g,22.10.21 12:20,02.11.21 09:30,Saccharina latissima,Steromphala cineraria,11,2.29,3.866,3.831
B_l2g,B,l2g,22.10.21 12:20,02.11.21 09:30,Saccharina latissima,Steromphala cineraria,11,1.627,3.523,3.51
B_l3g,B,l3g,22.10.21 12:20,02.11.21 09:30,Saccharina latissima,Calliostoma zizyphinum,11,4.165,2.484,2.439
B_l4g,B,l4g,22.10.21 12:20,02.11.21 09:30,Saccharina latissima,Calliostoma zizyphinum,11,2.861,3.325,3.367
B_l1c,B,l1c,22.10.21 12:20,02.11.21 09:30,Saccharina latissima,Autogenic control,11,NA,3.153,3.378
B_l2c,B,l2c,22.10.21 12:20,02.11.21 09:30,Saccharina latissima,Autogenic control,11,NA,2.57,2.597
B_l3c,B,l3c,22.10.21 12:20,02.11.21 09:30,Saccharina latissima,Autogenic control,11,NA,2.789,2.891
B_l4c,B,l4c,22.10.21 12:20,02.11.21 09:30,Saccharina latissima,Autogenic control,11,NA,3.218,3.291
B_p1g,B,p1g,22.10.21 12:20,02.11.21 09:30,Saccorhiza polyschides,Steromphala cineraria,11,0.217,3.621,3.45
B_p2g,B,p2g,22.10.21 12:20,02.11.21 09:30,Saccorhiza polyschides,Steromphala cineraria,11,0.22,7.503,7.322
B_p3g,B,p3g,22.10.21 12:20,02.11.21 09:30,Saccorhiza polyschides,Calliostoma zizyphinum,11,3.809,3.502,3.352
B_p4g,B,p4g,22.10.21 12:20,02.11.21 09:30,Saccorhiza polyschides,Calliostoma zizyphinum,11,2.775,2.775,2.745
B_p1c,B,p1c,22.10.21 12:20,02.11.21 09:30,Saccorhiza polyschides,Autogenic control,11,NA,3.99,3.946
B_p2c,B,p2c,22.10.21 12:20,02.11.21 09:30,Saccorhiza polyschides,Autogenic control,11,NA,8.531,8.666
B_p3c,B,p3c,22.10.21 12:20,02.11.21 09:30,Saccorhiza polyschides,Autogenic control,11,NA,3.44,3.503
B_p4c,B,p4c,22.10.21 12:20,02.11.21 09:30,Saccorhiza polyschides,Autogenic control,11,NA,3.236,3.245
C_d1g,C,d1g,08.11.21 15:30,18.11.21 10:00,Laminaria digitata,Steromphala cineraria,10,2.436,2.647,2.657
C_d2g,C,d2g,08.11.21 15:30,18.11.21 10:00,Laminaria digitata,Steromphala cineraria,10,1.525,2.151,2.113
C_d3g,C,d3g,08.11.21 15:30,18.11.21 10:00,Laminaria digitata,Calliostoma zizyphinum,10,5.318,2.275,2.355
C_d4g,C,d4g,08.11.21 15:30,18.11.21 10:00,Laminaria digitata,Calliostoma zizyphinum,10,5.91,2.488,2.541
C_d1c,C,d1c,08.11.21 15:30,18.11.21 10:00,Laminaria digitata,Autogenic control,10,NA,1.982,2.416
C_d2c,C,d2c,08.11.21 15:30,18.11.21 10:00,Laminaria digitata,Autogenic control,10,NA,2.238,2.255
C_d3c,C,d3c,08.11.21 15:30,18.11.21 10:00,Laminaria digitata,Autogenic control,10,NA,2.095,2.206
C_d4c,C,d4c,08.11.21 15:30,18.11.21 10:00,Laminaria digitata,Autogenic control,10,NA,2.213,2.221
C_h1g,C,h1g,08.11.21 15:30,18.11.21 10:00,Laminaria hyperborea,Steromphala cineraria,10,0.973,3.819,3.359
C_h2g,C,h2g,08.11.21 15:30,18.11.21 10:00,Laminaria hyperborea,Steromphala cineraria,10,0.343,4.222,3.519
C_h3g,C,h3g,08.11.21 15:30,18.11.21 10:00,Laminaria hyperborea,Calliostoma zizyphinum,10,5.86,3.459,3.234
C_h4g,C,h4g,08.11.21 15:30,18.11.21 10:00,Laminaria hyperborea,Calliostoma zizyphinum,10,7.627,3.623,3.334
C_h1c,C,h1c,08.11.21 15:30,18.11.21 10:00,Laminaria hyperborea,Autogenic control,10,NA,3.477,3.067
C_h2c,C,h2c,08.11.21 15:30,18.11.21 10:00,Laminaria hyperborea,Autogenic control,10,NA,3.982,3.389
C_h3c,C,h3c,08.11.21 15:30,18.11.21 10:00,Laminaria hyperborea,Autogenic control,10,NA,2.973,2.765
C_h4c,C,h4c,08.11.21 15:30,18.11.21 10:00,Laminaria hyperborea,Autogenic control,10,NA,3.441,2.94
C_l1g,C,l1g,08.11.21 15:30,18.11.21 10:00,Saccharina latissima,Steromphala cineraria,10,0.655,3.135,3.123
C_l2g,C,l2g,08.11.21 15:30,18.11.21 10:00,Saccharina latissima,Steromphala cineraria,10,0.25,2.723,2.806
C_l3g,C,l3g,08.11.21 15:30,18.11.21 10:00,Saccharina latissima,Calliostoma zizyphinum,10,3.879,2.648,2.681
C_l4g,C,l4g,08.11.21 15:30,18.11.21 10:00,Saccharina latissima,Calliostoma zizyphinum,10,3.975,2.835,2.819
C_l1c,C,l1c,08.11.21 15:30,18.11.21 10:00,Saccharina latissima,Autogenic control,10,NA,2.821,2.821
C_l2c,C,l2c,08.11.21 15:30,18.11.21 10:00,Saccharina latissima,Autogenic control,10,NA,2.769,2.806
C_l3c,C,l3c,08.11.21 15:30,18.11.21 10:00,Saccharina latissima,Autogenic control,10,NA,2.646,2.652
C_l4c,C,l4c,08.11.21 15:30,18.11.21 10:00,Saccharina latissima,Autogenic control,10,NA,2.652,2.785
C_p1g,C,p1g,08.11.21 15:30,18.11.21 10:00,Saccorhiza polyschides,Steromphala cineraria,10,0.337,2.145,2.255
C_p2g,C,p2g,08.11.21 15:30,18.11.21 10:00,Saccorhiza polyschides,Steromphala cineraria,10,0.2,2.115,2.202
C_p3g,C,p3g,08.11.21 15:30,18.11.21 10:00,Saccorhiza polyschides,Calliostoma zizyphinum,10,5.438,2.184,2.312
C_p4g,C,p4g,08.11.21 15:30,18.11.21 10:00,Saccorhiza polyschides,Calliostoma zizyphinum,10,3.985,2.63,2.766
C_p1c,C,p1c,08.11.21 15:30,18.11.21 10:00,Saccorhiza polyschides,Autogenic control,10,NA,2.277,2.394
C_p2c,C,p2c,08.11.21 15:30,18.11.21 10:00,Saccorhiza polyschides,Autogenic control,10,NA,2.076,2.193
C_p3c,C,p3c,08.11.21 15:30,18.11.21 10:00,Saccorhiza polyschides,Autogenic control,10,NA,2.097,2.206
C_p4c,C,p4c,08.11.21 15:30,18.11.21 10:00,Saccorhiza polyschides,Autogenic control,10,NA,1.84,1.915
