Plate,Annotation
031121enzyme7,0.25
031121enzyme7,0.25
031121enzyme7,0.5
031121enzyme7,0.5
031121enzyme7,0.5
031121enzyme7,0.75
031121enzyme7,0.75
031121enzyme7,0.75
031121enzyme7,1
031121enzyme7,1
031121enzyme7,1
031121enzyme7,2
031121enzyme7,2
031121enzyme7,2
031121enzyme7,5
031121enzyme7,5
031121enzyme7,5
031121enzyme7,10
031121enzyme7,10
031121enzyme7,10
031121enzyme7,20
031121enzyme7,20
031121enzyme7,20
031121enzyme7,50
031121enzyme7,50
031121enzyme7,50
031121enzyme7,100
031121enzyme7,100
031121enzyme7,100
031121enzyme7,p1g
031121enzyme7,p1g
031121enzyme7,p1g
031121enzyme7,p1g
031121enzyme7,p1g
031121enzyme7,p2g
031121enzyme7,p2g
031121enzyme7,p2g
031121enzyme7,p2g
031121enzyme7,p2g
031121enzyme7,p3g
031121enzyme7,p3g
031121enzyme7,p3g
031121enzyme7,p3g
031121enzyme7,p3g
031121enzyme7,p4g
031121enzyme7,p4g
031121enzyme7,p4g
031121enzyme7,p4g
031121enzyme7,p4g
031121enzyme7,p1c
031121enzyme7,p1c
031121enzyme7,p1c
031121enzyme7,p1c
031121enzyme7,p1c
031121enzyme7,p2c
031121enzyme7,p2c
031121enzyme7,p2c
031121enzyme7,p2c
031121enzyme7,p2c
031121enzyme7,p3c
031121enzyme7,p3c
031121enzyme7,p3c
031121enzyme7,p3c
031121enzyme7,p3c
031121enzyme7,p4c
031121enzyme7,p4c
031121enzyme7,p4c
031121enzyme7,p4c
031121enzyme7,p4c
031121enzyme7,CMQ
031121enzyme7,CMQ
031121enzyme7,CMQ
031121enzyme7,CAS
031121enzyme7,CAS
031121enzyme7,CAS
031121enzyme9,MQ
031121enzyme9,MQ
031121enzyme9,MQ
031121enzyme9,MQ
031121enzyme9,MQ
031121enzyme9,MQ
031121enzyme9,MQ
031121enzyme9,MQ
031121enzyme9,MQ
031121enzyme9,MQ
031121enzyme9,MQ
031121enzyme9,MQ
031121enzyme9,MQ
031121enzyme9,MQ
031121enzyme9,MQ
031121enzyme9,MQ
031121enzyme9,MQ
031121enzyme9,MQ
031121enzyme9,MQ
031121enzyme9,MQ
031121enzyme9,MQ
031121enzyme9,MQ
031121enzyme9,MQ
031121enzyme9,MQ
031121enzyme9,AS
031121enzyme9,AS
031121enzyme9,AS
031121enzyme9,AS
031121enzyme9,AS
031121enzyme9,AS
031121enzyme9,AS
031121enzyme9,AS
031121enzyme9,AS
031121enzyme9,AS
031121enzyme9,AS
031121enzyme9,AS
031121enzyme9,AS
031121enzyme9,AS
031121enzyme9,AS
031121enzyme9,AS
031121enzyme9,AS
031121enzyme9,AS
031121enzyme9,AS
031121enzyme9,AS
031121enzyme9,AS
031121enzyme9,AS
031121enzyme9,AS
031121enzyme9,AS
031121enzyme9,CMQ
031121enzyme9,CMQ
031121enzyme9,CMQ
031121enzyme9,CMQ
031121enzyme9,CMQ
031121enzyme9,CMQ
031121enzyme9,CMQ
031121enzyme9,CMQ
031121enzyme9,CMQ
031121enzyme9,CMQ
031121enzyme9,CAS
031121enzyme9,CAS
031121enzyme9,CAS
031121enzyme9,CAS
031121enzyme9,CAS
031121enzyme9,CAS
031121enzyme9,CAS
031121enzyme9,CAS
031121enzyme9,CAS
031121enzyme9,0
031121enzyme9,0
031121enzyme9,0
031121enzyme9,0
031121enzyme9,0
031121enzyme9,0.1
031121enzyme9,0.1
031121enzyme9,0.1
031121enzyme9,0.1
031121enzyme9,0.1
031121enzyme9,0.25
031121enzyme9,0.25
031121enzyme9,0.25
031121enzyme9,0.25
031121enzyme9,0.25
031121enzyme9,0.5
031121enzyme9,0.5
031121enzyme9,0.5
031121enzyme9,0.5
031121enzyme9,0.5
031121enzyme9,0.75
031121enzyme9,0.75
031121enzyme9,0.75
031121enzyme9,0.75
031121enzyme9,0.75
031121enzyme9,1
031121enzyme9,1
031121enzyme9,1
031121enzyme9,1
091121enzyme1,0
091121enzyme1,0
091121enzyme1,0
091121enzyme1,0.1
091121enzyme1,0.1
091121enzyme1,0.1
