Species,Area,Perimeter
Saccharina latissima,0.513,2.893
Saccharina latissima,0.587,2.998
Saccharina latissima,0.527,2.934
Saccharina latissima,0.511,2.834
Saccharina latissima,0.503,2.764
Saccharina latissima,0.527,2.844
Saccharina latissima,0.512,2.865
Saccharina latissima,0.537,2.842
Saccharina latissima,0.538,2.895
Saccharina latissima,0.52,2.906
Saccharina latissima,0.52,2.841
Saccharina latissima,0.509,2.829
Saccharina latissima,0.49,2.742
Saccharina latissima,0.534,3.257
Saccharina latissima,0.51,2.858
Saccharina latissima,0.536,3.001
Saccorhiza polyschides,0.502,2.851
Saccorhiza polyschides,0.555,3.04
Saccorhiza polyschides,0.501,2.949
Saccorhiza polyschides,0.529,2.992
Saccorhiza polyschides,0.524,2.954
Saccorhiza polyschides,0.512,2.865
Saccorhiza polyschides,0.493,2.792
Saccorhiza polyschides,0.536,3.057
Saccorhiza polyschides,0.494,2.805
Saccorhiza polyschides,0.502,2.918
Saccorhiza polyschides,0.513,3.103
Saccorhiza polyschides,0.52,2.812
Saccorhiza polyschides,0.512,2.819
Saccorhiza polyschides,0.499,2.756
Saccorhiza polyschides,0.51,2.795
Saccorhiza polyschides,0.515,2.814
Saccorhiza polyschides,0.508,2.992
Saccorhiza polyschides,0.464,2.645
Saccorhiza polyschides,0.481,2.735
Saccorhiza polyschides,0.479,2.972
Saccorhiza polyschides,0.502,2.763
Saccorhiza polyschides,0.495,2.84
Saccorhiza polyschides,0.494,2.809
Saccorhiza polyschides,0.483,2.695
Saccorhiza polyschides,0.487,2.72
Saccorhiza polyschides,0.461,2.633
Saccorhiza polyschides,0.49,2.793
Saccorhiza polyschides,0.527,2.848
Saccorhiza polyschides,0.503,2.808
Saccorhiza polyschides,0.504,2.876
