Species,Date,Buoyant,Blotted,Lyophilised
Saccharina latissima,22.11.21,NA,10.309,1.347
Saccharina latissima,22.11.21,NA,8.927,1.129
Saccharina latissima,22.11.21,NA,5.019,0.725
Saccharina latissima,22.11.21,NA,12.437,1.532
Saccharina latissima,22.11.21,NA,14.292,1.732
Saccorhiza polyschides,22.11.21,NA,7.512,0.631
Saccorhiza polyschides,22.11.21,NA,6.283,0.615
Saccorhiza polyschides,22.11.21,NA,12.315,1.061
Saccorhiza polyschides,22.11.21,NA,4.019,0.356
Saccorhiza polyschides,22.11.21,NA,7.255,0.682
Saccorhiza polyschides,22.11.21,NA,11.111,0.834
Saccorhiza polyschides,22.11.21,NA,3.219,0.323
Saccorhiza polyschides,22.11.21,NA,7.619,0.672
Saccorhiza polyschides,22.11.21,NA,8.938,0.853
Saccorhiza polyschides,22.11.21,NA,8.489,0.693
