User: USER,,
Path: C:\Program Files (x86)\BMG\CLARIOstar\User\Data\,,
Test ID: 428,,
Test Name: LUKA,,
Date: 23/11/2021,,
Time: 11:09:22,,
Fluorescence (FI),,
,,
,,
Well,Content, Raw Data (360-20/450-30)
A01,Sample X1,1044
A02,Sample X2,647
A03,Sample X3,526
A04,Sample X4,1904
A05,Sample X5,1927
A06,Sample X6,1925
A07,Sample X7,3446
A08,Sample X8,3815
A09,Sample X9,3722
A10,Sample X10,5224
A11,Sample X11,5201
A12,Sample X12,5243
B01,Sample X13,6528
B02,Sample X14,6554
B03,Sample X15,6721
B04,Sample X16,12737
B05,Sample X17,12725
B06,Sample X18,12550
B07,Sample X19,29317
B08,Sample X20,30097
B09,Sample X21,30118
B10,Sample X22,54434
B11,Sample X23,54408
B12,Sample X24,55446
C01,Sample X25,110392
C02,Sample X26,112133
C03,Sample X27,113555
C04,Sample X28,179587
C05,Sample X29,181437
C06,Sample X30,181408
C07,Sample X31,218566
C08,Sample X32,218687
C09,Sample X33,219781
C10,Sample X34,235417
C11,Sample X35,235408
C12,Sample X36,234545
D01,Sample X37,13298
D02,Sample X38,3969
D03,Sample X39,3089
D04,Sample X40,2653
D05,Sample X41,2610
D06,Sample X42,8911
D07,Sample X43,8920
D08,Sample X44,9165
D09,Sample X45,9121
D10,Sample X46,15807
D11,Sample X47,28893
D12,Sample X48,18921
E01,Sample X49,17644
E02,Sample X50,18481
E03,Sample X51,18055
E04,Sample X52,2607
E05,Sample X53,2542
E06,Sample X54,2534
E07,Sample X55,2510
E08,Sample X56,2509
E09,Sample X57,1831
E10,Sample X58,1898
E11,Sample X59,1857
E12,Sample X60,2008
F01,Sample X61,1968
F02,Sample X62,1492
F03,Sample X63,1485
F04,Sample X64,1630
F05,Sample X65,3466
F06,Sample X66,3181
F07,Sample X67,21144
F08,Sample X68,23568
F09,Sample X69,23405
F10,Sample X70,24536
F11,Sample X71,28125
F12,Sample X72,7112
G01,Sample X73,6420
G02,Sample X74,7538
G03,Sample X75,8455
G04,Sample X76,8521
G05,Sample X77,9409
G06,Sample X78,9537
G07,Sample X79,9452
G08,Sample X80,9404
G09,Sample X81,9624
G10,Sample X82,6878
G11,Sample X83,6648
G12,Sample X84,6589
H01,Sample X85,6849
H02,Sample X86,6914
H03,Sample X87,597
H04,Sample X88,207
H05,Sample X89,162
H06,Sample X90,150
H07,Sample X91,154
H08,Sample X92,680
H09,Sample X93,668
H10,Sample X94,672
H11,Sample X95,671
H12,Sample X96,666
