User: USER,,
Path: C:\Program Files (x86)\BMG\CLARIOstar\User\Data\,,
Test ID: 356,,
Test Name: LUKA,,
Date: 20/10/2021,,
Time: 12:43:12,,
Fluorescence (FI),,
,,
,,
Well,Content, Raw Data (360-20/450-30)
A01,Sample X1,462
A02,Sample X2,700
A03,Sample X3,435
A04,Sample X4,783
A05,Sample X5,829
A06,Sample X6,816
A07,Sample X7,1187
A08,Sample X8,1357
A09,Sample X9,1290
A10,Sample X10,2258
A11,Sample X11,2521
A12,Sample X12,2298
B01,Sample X13,3251
B02,Sample X14,3028
B03,Sample X15,3206
B04,Sample X16,4781
B05,Sample X17,5288
B06,Sample X18,5526
B07,Sample X19,8048
B08,Sample X20,9145
B09,Sample X21,9297
B10,Sample X22,18822
B11,Sample X23,17229
B12,Sample X24,15921
C01,Sample X25,30773
C02,Sample X26,33831
C03,Sample X27,35393
C04,Sample X28,95504
C05,Sample X29,99857
C06,Sample X30,104974
C07,Sample X31,146613
C08,Sample X32,153864
C09,Sample X33,156401
C10,Sample X34,236182
C11,Sample X35,237537
C12,Sample X36,238346
D01,Sample X37,388
D02,Sample X38,390
D03,Sample X39,365
D04,Sample X40,2109
D05,Sample X41,1678
D06,Sample X42,1416
D07,Sample X43,1701
D08,Sample X44,681
D09,Sample X45,594
D10,Sample X46,393
D11,Sample X47,386
D12,Sample X48,431
E01,Sample X49,354
E02,Sample X50,394
E03,Sample X51,386
E04,Sample X52,773
E05,Sample X53,617
E06,Sample X54,505
E07,Sample X55,642
E08,Sample X56,641
E09,Sample X57,686
E10,Sample X58,546
E11,Sample X59,564
E12,Sample X60,554
F01,Sample X61,743
F02,Sample X62,708
F03,Sample X63,721
F04,Sample X64,1109
F05,Sample X65,958
F06,Sample X66,1062
F07,Sample X67,12330
F08,Sample X68,6502
F09,Sample X69,1737
F10,Sample X70,1853
F11,Sample X71,1035
F12,Sample X72,982
G01,Sample X73,3430
G02,Sample X74,3550
G03,Sample X75,3403
G04,Sample X76,4514
G05,Sample X77,4050
G06,Sample X78,4028
G07,Sample X79,2367
G08,Sample X80,1800
G09,Sample X81,1670
G10,Sample X82,1499
G11,Sample X83,1495
G12,Sample X84,1538
