User: USER,,
Path: C:\Program Files (x86)\BMG\CLARIOstar\User\Data\,,
Test ID: 351,,
Test Name: LUKA,,
Date: 19/10/2021,,
Time: 15:16:36,,
Fluorescence (FI),,
,,
,,
Well,Content, Raw Data (360-20/450-30)
A01,Sample X1,513
A02,Sample X2,536
A03,Sample X3,723
A04,Sample X4,1334
A05,Sample X5,1332
A06,Sample X6,1352
A07,Sample X7,2486
A08,Sample X8,2471
A09,Sample X9,2458
A10,Sample X10,4632
A11,Sample X11,4594
A12,Sample X12,4666
B01,Sample X13,6494
B02,Sample X14,6476
B03,Sample X15,6460
B04,Sample X16,12300
B05,Sample X17,12472
B06,Sample X18,12312
B07,Sample X19,15637
B08,Sample X20,15459
B09,Sample X21,15359
B10,Sample X22,33601
B11,Sample X23,33056
B12,Sample X24,33419
C01,Sample X25,91467
C02,Sample X26,91140
C03,Sample X27,89938
C04,Sample X28,199138
C05,Sample X29,192476
C06,Sample X30,194237
C07,Sample X31,235779
C08,Sample X32,228745
C09,Sample X33,226222
C10,Sample X34,193252
C11,Sample X35,180759
C12,Sample X36,175933
D01,Sample X37,7509
D02,Sample X38,7556
D03,Sample X39,7607
D04,Sample X40,1242
D05,Sample X41,1243
D06,Sample X42,2858
D07,Sample X43,3329
D08,Sample X44,530
D09,Sample X45,545
D10,Sample X46,483
D11,Sample X47,223
D12,Sample X48,221
E01,Sample X49,266
E02,Sample X50,291
E03,Sample X51,269
E04,Sample X52,537
E05,Sample X53,540
E06,Sample X54,540
E07,Sample X55,259
E08,Sample X56,237
E09,Sample X57,530
E10,Sample X58,974
E11,Sample X59,398
E12,Sample X60,387
F01,Sample X61,205
F02,Sample X62,212
F03,Sample X63,213
F04,Sample X64,559
F05,Sample X65,565
F06,Sample X66,573
F07,Sample X67,233
F08,Sample X68,213
F09,Sample X69,211
F10,Sample X70,2159
F11,Sample X71,441
F12,Sample X72,413
G01,Sample X73,1121
G02,Sample X74,1123
G03,Sample X75,1117
G04,Sample X76,3075
G05,Sample X77,2910
G06,Sample X78,2871
G07,Sample X79,1587
G08,Sample X80,1251
G09,Sample X81,1258
G10,Sample X82,1637
G11,Sample X83,1639
G12,Sample X84,1636
