User: USER,,
Path: C:\Program Files (x86)\BMG\CLARIOstar\User\Data\,,
Test ID: 452,,
Test Name: LUKA,,
Date: 30/11/2021,,
Time: 10:56:07,,
Fluorescence (FI),,
,,
,,
Well,Content, Raw Data (360-20/450-30)
A01,Sample X1,788
A02,Sample X2,1094
A03,Sample X3,435
A04,Sample X4,4125
A05,Sample X5,3408
A06,Sample X6,4204
A07,Sample X7,4351
A08,Sample X8,4102
A09,Sample X9,5147
A10,Sample X10,6330
A11,Sample X11,6150
A12,Sample X12,5957
B01,Sample X13,7176
B02,Sample X14,7149
B03,Sample X15,7601
B04,Sample X16,13267
B05,Sample X17,13409
B06,Sample X18,13355
B07,Sample X19,33975
B08,Sample X20,34481
B09,Sample X21,33120
B10,Sample X22,57869
B11,Sample X23,57172
B12,Sample X24,57537
C01,Sample X25,115525
C02,Sample X26,111894
C03,Sample X27,113284
C04,Sample X28,183549
C05,Sample X29,185177
C06,Sample X30,181522
C07,Sample X31,223228
C08,Sample X32,219584
C09,Sample X33,221382
C10,Sample X34,237069
C11,Sample X35,235705
C12,Sample X36,234239
D01,Sample X37,14717
D02,Sample X38,8721
D03,Sample X39,8237
D04,Sample X40,7419
D05,Sample X41,8022
D06,Sample X42,6426
D07,Sample X43,11042
D08,Sample X44,7270
D09,Sample X45,7095
D10,Sample X46,7291
D11,Sample X47,15517
D12,Sample X48,12155
E01,Sample X49,11401
E02,Sample X50,10959
E03,Sample X51,10948
E04,Sample X52,5619
E05,Sample X53,5693
E06,Sample X54,5606
E07,Sample X55,5614
E08,Sample X56,5698
E09,Sample X57,3706
E10,Sample X58,3748
E11,Sample X59,3825
E12,Sample X60,3763
F01,Sample X61,3828
F02,Sample X62,1810
F03,Sample X63,1602
F04,Sample X64,1608
F05,Sample X65,1585
F06,Sample X66,1619
F07,Sample X67,1483
F08,Sample X68,1496
F09,Sample X69,1493
F10,Sample X70,1454
F11,Sample X71,1528
F12,Sample X72,2888
G01,Sample X73,3016
G02,Sample X74,2901
G03,Sample X75,2800
G04,Sample X76,2808
G05,Sample X77,4527
G06,Sample X78,4513
G07,Sample X79,4415
G08,Sample X80,4469
G09,Sample X81,4714
G10,Sample X82,13565
G11,Sample X83,14134
G12,Sample X84,13817
H01,Sample X85,15078
H02,Sample X86,15337
H03,Sample X87,1453
H04,Sample X88,551
H05,Sample X89,549
H06,Sample X90,190
H07,Sample X91,487
H08,Sample X92,466
H09,Sample X93,515
H10,Sample X94,512
H11,Sample X95,484
H12,Sample X96,482
