User: USER,,
Path: C:\Program Files (x86)\BMG\CLARIOstar\User\Data\,,
Test ID: 411,,
Test Name: LUKA,,
Date: 16/11/2021,,
Time: 12:16:01,,
Fluorescence (FI),,
,,
,,
Well,Content, Raw Data (360-20/450-30)
A01,Sample X1,3418
A02,Sample X2,2765
A03,Sample X3,2596
A04,Sample X4,13215
A05,Sample X5,13474
A06,Sample X6,13459
A07,Sample X7,6186
A08,Sample X8,5903
A09,Sample X9,5887
A10,Sample X10,7535
A11,Sample X11,7499
A12,Sample X12,7716
B01,Sample X13,9225
B02,Sample X14,9373
B03,Sample X15,9537
B04,Sample X16,14973
B05,Sample X17,15054
B06,Sample X18,14979
B07,Sample X19,30010
B08,Sample X20,30445
B09,Sample X21,30176
B10,Sample X22,55458
B11,Sample X23,55931
B12,Sample X24,56209
C01,Sample X25,109452
C02,Sample X26,111178
C03,Sample X27,111019
C04,Sample X28,177218
C05,Sample X29,177402
C06,Sample X30,176506
C07,Sample X31,216050
C08,Sample X32,216616
C09,Sample X33,215127
C10,Sample X34,235041
C11,Sample X35,234776
C12,Sample X36,234632
D01,Sample X37,9370
D02,Sample X38,13390
D03,Sample X39,27236
D04,Sample X40,14934
D05,Sample X41,13835
D06,Sample X42,151417
D07,Sample X43,187763
D08,Sample X44,174223
D09,Sample X45,162099
D10,Sample X46,161364
D11,Sample X47,3943
D12,Sample X48,4062
E01,Sample X49,4062
E02,Sample X50,4069
E03,Sample X51,4027
E04,Sample X52,2954
E05,Sample X53,3074
E06,Sample X54,3982
E07,Sample X55,3178
E08,Sample X56,3391
E09,Sample X57,2596
E10,Sample X58,2784
E11,Sample X59,2572
E12,Sample X60,2637
F01,Sample X61,2555
F02,Sample X62,4018
F03,Sample X63,3826
F04,Sample X64,3891
F05,Sample X65,4476
F06,Sample X66,4147
F07,Sample X67,2596
F08,Sample X68,2507
F09,Sample X69,2538
F10,Sample X70,2508
F11,Sample X71,2592
F12,Sample X72,4412
G01,Sample X73,309
G02,Sample X74,808
G03,Sample X75,170
G04,Sample X76,148
G05,Sample X77,493
G06,Sample X78,496
G07,Sample X79,508
G08,Sample X80,500
G09,Sample X81,493
G10,Sample X82,507
G11,Sample X83,536
G12,Sample X84,528
