User: USER,,
Path: C:\Program Files (x86)\BMG\CLARIOstar\User\Data\,,
Test ID: 365,,
Test Name: LUKA,,
Date: 28/10/2021,,
Time: 12:28:25,,
Fluorescence (FI),,
,,
,,
Well,Content, Raw Data (360-20/450-30)
A01,Sample X1,3642
A02,Sample X2,2769
A03,Sample X3,2671
A04,Sample X4,2764
A05,Sample X5,2849
A06,Sample X6,2723
A07,Sample X7,3902
A08,Sample X8,3994
A09,Sample X9,4015
A10,Sample X10,5548
A11,Sample X11,5460
A12,Sample X12,5722
B01,Sample X13,7173
B02,Sample X14,7206
B03,Sample X15,7210
B04,Sample X16,9428
B05,Sample X17,8966
B06,Sample X18,8802
B07,Sample X19,18920
B08,Sample X20,18969
B09,Sample X21,18941
B10,Sample X22,32706
B11,Sample X23,32504
B12,Sample X24,32483
C01,Sample X25,58318
C02,Sample X26,58961
C03,Sample X27,58760
C04,Sample X28,181263
C05,Sample X29,178630
C06,Sample X30,178103
C07,Sample X31,236273
C08,Sample X32,225674
C09,Sample X33,224878
C10,Sample X34,231297
C11,Sample X35,190459
C12,Sample X36,185296
D01,Sample X37,9768
D02,Sample X38,9720
D03,Sample X39,9801
D04,Sample X40,9758
D05,Sample X41,9895
D06,Sample X42,43488
D07,Sample X43,43267
D08,Sample X44,35149
D09,Sample X45,38071
D10,Sample X46,42145
D11,Sample X47,32741
D12,Sample X48,33200
E01,Sample X49,46645
E02,Sample X50,36841
E03,Sample X51,41051
E04,Sample X52,23612
E05,Sample X53,22623
E06,Sample X54,22899
E07,Sample X55,25347
E08,Sample X56,27955
E09,Sample X57,32939
E10,Sample X58,32188
E11,Sample X59,34604
E12,Sample X60,33376
F01,Sample X61,36813
F02,Sample X62,26384
F03,Sample X63,26246
F04,Sample X64,26398
F05,Sample X65,24790
F06,Sample X66,24720
F07,Sample X67,912
F08,Sample X68,378
F09,Sample X69,354
F10,Sample X70,424
F11,Sample X71,388
F12,Sample X72,406
