User: USER,,
Path: C:\Program Files (x86)\BMG\CLARIOstar\User\Data\,,
Test ID: 451,,
Test Name: LUKA,,
Date: 30/11/2021,,
Time: 10:41:55,,
Fluorescence (FI),,
,,
,,
Well,Content, Raw Data (360-20/450-30)
A01,Sample X1,1714
A02,Sample X2,663
A03,Sample X3,599
A04,Sample X4,3317
A05,Sample X5,3352
A06,Sample X6,3485
A07,Sample X7,4059
A08,Sample X8,4127
A09,Sample X9,4203
A10,Sample X10,6170
A11,Sample X11,5631
A12,Sample X12,5662
B01,Sample X13,7278
B02,Sample X14,7003
B03,Sample X15,7254
B04,Sample X16,15383
B05,Sample X17,13455
B06,Sample X18,13394
B07,Sample X19,34449
B08,Sample X20,34520
B09,Sample X21,33871
B10,Sample X22,58478
B11,Sample X23,58593
B12,Sample X24,59340
C01,Sample X25,122755
C02,Sample X26,121265
C03,Sample X27,121983
C04,Sample X28,187645
C05,Sample X29,185596
C06,Sample X30,182523
C07,Sample X31,224432
C08,Sample X32,220404
C09,Sample X33,222833
C10,Sample X34,231535
C11,Sample X35,235513
C12,Sample X36,236469
D01,Sample X37,22839
D02,Sample X38,13517
D03,Sample X39,13411
D04,Sample X40,13476
D05,Sample X41,14412
D06,Sample X42,4728
D07,Sample X43,5613
D08,Sample X44,53985
D09,Sample X45,19604
D10,Sample X46,9653
D11,Sample X47,7312
D12,Sample X48,6111
E01,Sample X49,5145
E02,Sample X50,4841
E03,Sample X51,6185
E04,Sample X52,7297
E05,Sample X53,5839
E06,Sample X54,4467
E07,Sample X55,4833
E08,Sample X56,5786
E09,Sample X57,7404
E10,Sample X58,4261
E11,Sample X59,4358
E12,Sample X60,5079
F01,Sample X61,4965
F02,Sample X62,22079
F03,Sample X63,14879
F04,Sample X64,13847
F05,Sample X65,13630
F06,Sample X66,13851
F07,Sample X67,12356
F08,Sample X68,12467
F09,Sample X69,12401
F10,Sample X70,12297
F11,Sample X71,12893
F12,Sample X72,5688
G01,Sample X73,6685
G02,Sample X74,8594
G03,Sample X75,7200
G04,Sample X76,6976
G05,Sample X77,6099
G06,Sample X78,6212
G07,Sample X79,6205
G08,Sample X80,6160
G09,Sample X81,6119
G10,Sample X82,2468
G11,Sample X83,2465
G12,Sample X84,3645
H01,Sample X85,3638
H02,Sample X86,3651
H03,Sample X87,690
H04,Sample X88,318
H05,Sample X89,216
H06,Sample X90,224
H07,Sample X91,689
H08,Sample X92,509
H09,Sample X93,458
H10,Sample X94,486
H11,Sample X95,433
H12,Sample X96,411
