User: USER,,
Path: C:\Program Files (x86)\BMG\CLARIOstar\User\Data\,,
Test ID: 394,,
Test Name: LUKA,,
Date: 09/11/2021,,
Time: 12:30:11,,
Fluorescence (FI),,
,,
,,
Well,Content, Raw Data (360-20/450-30)
A01,Sample X1,1726
A02,Sample X2,1770
A03,Sample X3,1845
A04,Sample X4,2632
A05,Sample X5,2729
A06,Sample X6,2631
A07,Sample X7,4381
A08,Sample X8,4665
A09,Sample X9,4458
A10,Sample X10,9130
A11,Sample X11,9005
A12,Sample X12,9086
B01,Sample X13,11147
B02,Sample X14,11332
B03,Sample X15,11668
B04,Sample X16,23215
B05,Sample X17,23657
B06,Sample X18,23798
B07,Sample X19,47108
B08,Sample X20,49181
B09,Sample X21,41414
B10,Sample X22,75147
B11,Sample X23,77434
B12,Sample X24,76548
C01,Sample X25,88975
C02,Sample X26,89142
C03,Sample X27,90136
C04,Sample X28,104843
C05,Sample X29,109069
C06,Sample X30,97970
C07,Sample X31,167740
C08,Sample X32,168919
C09,Sample X33,168551
C10,Sample X34,215225
C11,Sample X35,215688
C12,Sample X36,215503
D01,Sample X37,222207
D02,Sample X38,222032
D03,Sample X39,221125
D04,Sample X40,236033
D05,Sample X41,233967
D06,Sample X42,235210
D07,Sample X43,3040
D08,Sample X44,2358
D09,Sample X45,2713
D10,Sample X46,2795
D11,Sample X47,3576
D12,Sample X48,4208
E01,Sample X49,6298
E02,Sample X50,10321
E03,Sample X51,8419
E04,Sample X52,7911
E05,Sample X53,1310
E06,Sample X54,1183
E07,Sample X55,1022
E08,Sample X56,1703
E09,Sample X57,1598
E10,Sample X58,750
E11,Sample X59,861
E12,Sample X60,716
F01,Sample X61,959
F02,Sample X62,852
F03,Sample X63,969
F04,Sample X64,1148
F05,Sample X65,974
F06,Sample X66,991
F07,Sample X67,953
F08,Sample X68,10515
F09,Sample X69,10398
F10,Sample X70,10556
F11,Sample X71,10602
F12,Sample X72,10779
G01,Sample X73,1898
G02,Sample X74,1727
G03,Sample X75,1947
G04,Sample X76,1970
G05,Sample X77,1836
G06,Sample X78,1035
G07,Sample X79,998
G08,Sample X80,1406
G09,Sample X81,1759
G10,Sample X82,2036
G11,Sample X83,304
G12,Sample X84,119
H01,Sample X85,120
H02,Sample X86,116
H03,Sample X87,122
H04,Sample X88,763
H05,Sample X89,427
H06,Sample X90,422
