User: USER,,
Path: C:\Program Files (x86)\BMG\CLARIOstar\User\Data\,,
Test ID: 349,,
Test Name: LUKA,,
Date: 19/10/2021,,
Time: 14:34:59,,
Fluorescence (FI),,
,,
,,
Well,Content, Raw Data (360-20/450-30)
A01,Sample X1,497
A02,Sample X2,495
A03,Sample X3,532
A04,Sample X4,1869
A05,Sample X5,1368
A06,Sample X6,1300
A07,Sample X7,2409
A08,Sample X8,2412
A09,Sample X9,2382
A10,Sample X10,4523
A11,Sample X11,4525
A12,Sample X12,4562
B01,Sample X13,6340
B02,Sample X14,6260
B03,Sample X15,6283
B04,Sample X16,12020
B05,Sample X17,11966
B06,Sample X18,11943
B07,Sample X19,15254
B08,Sample X20,14985
B09,Sample X21,14933
B10,Sample X22,33176
B11,Sample X23,32823
B12,Sample X24,33327
C01,Sample X25,90263
C02,Sample X26,89384
C03,Sample X27,88449
C04,Sample X28,194200
C05,Sample X29,193135
C06,Sample X30,192618
C07,Sample X31,236352
C08,Sample X32,229749
C09,Sample X33,230997
C10,Sample X34,199047
C11,Sample X35,184794
C12,Sample X36,193064
D01,Sample X37,37723
D02,Sample X38,795
D03,Sample X39,1573
D04,Sample X40,882
D05,Sample X41,882
D06,Sample X42,855
D07,Sample X43,295
D08,Sample X44,287
D09,Sample X45,302
D10,Sample X46,281
D11,Sample X47,378
D12,Sample X48,203
E01,Sample X49,279
E02,Sample X50,246
E03,Sample X51,245
E04,Sample X52,607
E05,Sample X53,501
E06,Sample X54,479
E07,Sample X55,231
E08,Sample X56,269
E09,Sample X57,245
E10,Sample X58,390
E11,Sample X59,338
E12,Sample X60,330
F01,Sample X61,192
F02,Sample X62,196
F03,Sample X63,173
F04,Sample X64,476
F05,Sample X65,480
F06,Sample X66,470
F07,Sample X67,175
F08,Sample X68,297
F09,Sample X69,184
F10,Sample X70,358
F11,Sample X71,361
F12,Sample X72,354
G01,Sample X73,811
G02,Sample X74,707
G03,Sample X75,734
G04,Sample X76,2518
G05,Sample X77,2535
G06,Sample X78,2466
G07,Sample X79,930
G08,Sample X80,957
G09,Sample X81,1025
G10,Sample X82,31547
G11,Sample X83,1569
G12,Sample X84,1570
