User: USER,,
Path: C:\Program Files (x86)\BMG\CLARIOstar\User\Data\,,
Test ID: 429,,
Test Name: LUKA,,
Date: 23/11/2021,,
Time: 11:32:34,,
Fluorescence (FI),,
,,
,,
Well,Content, Raw Data (360-20/450-30)
A01,Sample X1,658
A02,Sample X2,767
A03,Sample X3,569
A04,Sample X4,1971
A05,Sample X5,1962
A06,Sample X6,1983
A07,Sample X7,3512
A08,Sample X8,3610
A09,Sample X9,3664
A10,Sample X10,5463
A11,Sample X11,5389
A12,Sample X12,5066
B01,Sample X13,6598
B02,Sample X14,6633
B03,Sample X15,6825
B04,Sample X16,12952
B05,Sample X17,13255
B06,Sample X18,13395
B07,Sample X19,32512
B08,Sample X20,30810
B09,Sample X21,29753
B10,Sample X22,55813
B11,Sample X23,56471
B12,Sample X24,56325
C01,Sample X25,113237
C02,Sample X26,114966
C03,Sample X27,114774
C04,Sample X28,180763
C05,Sample X29,182257
C06,Sample X30,181191
C07,Sample X31,220039
C08,Sample X32,220385
C09,Sample X33,219590
C10,Sample X34,234471
C11,Sample X35,233880
C12,Sample X36,232525
D01,Sample X37,8916
D02,Sample X38,9215
D03,Sample X39,10322
D04,Sample X40,10544
D05,Sample X41,12578
D06,Sample X42,3454
D07,Sample X43,2784
D08,Sample X44,2083
D09,Sample X45,2166
D10,Sample X46,2395
D11,Sample X47,4487
D12,Sample X48,4564
E01,Sample X49,3932
E02,Sample X50,4090
E03,Sample X51,4049
E04,Sample X52,1115
E05,Sample X53,912
E06,Sample X54,1285
E07,Sample X55,1083
E08,Sample X56,1481
E09,Sample X57,3102
E10,Sample X58,3377
E11,Sample X59,3222
E12,Sample X60,3349
F01,Sample X61,3269
F02,Sample X62,1600
F03,Sample X63,1647
F04,Sample X64,1658
F05,Sample X65,1597
F06,Sample X66,1612
F07,Sample X67,947
F08,Sample X68,1050
F09,Sample X69,891
F10,Sample X70,937
F11,Sample X71,3839
F12,Sample X72,17280
G01,Sample X73,16883
G02,Sample X74,16732
G03,Sample X75,16799
G04,Sample X76,16771
G05,Sample X77,6495
G06,Sample X78,6382
G07,Sample X79,6524
G08,Sample X80,6707
G09,Sample X81,6689
G10,Sample X82,9034
G11,Sample X83,9475
G12,Sample X84,9399
H01,Sample X85,9494
H02,Sample X86,9773
H03,Sample X87,169
H04,Sample X88,168
H05,Sample X89,165
H06,Sample X90,163
H07,Sample X91,179
H08,Sample X92,679
H09,Sample X93,657
H10,Sample X94,660
H11,Sample X95,680
H12,Sample X96,712
