User: USER,,
Path: C:\Program Files (x86)\BMG\CLARIOstar\User\Data\,,
Test ID: 417,,
Test Name: LUKA,,
Date: 19/11/2021,,
Time: 10:44:33,,
Fluorescence (FI),,
,,
,,
Well,Content, Raw Data (360-20/450-30)
A01,Sample X1,1966
A02,Sample X2,2183
A03,Sample X3,2234
A04,Sample X4,3423
A05,Sample X5,3495
A06,Sample X6,3482
A07,Sample X7,4812
A08,Sample X8,4926
A09,Sample X9,4988
A10,Sample X10,6081
A11,Sample X11,6255
A12,Sample X12,6291
B01,Sample X13,7232
B02,Sample X14,7803
B03,Sample X15,7567
B04,Sample X16,11707
B05,Sample X17,11573
B06,Sample X18,11684
B07,Sample X19,28358
B08,Sample X20,28459
B09,Sample X21,29399
B10,Sample X22,52089
B11,Sample X23,53567
B12,Sample X24,52921
C01,Sample X25,108380
C02,Sample X26,109943
C03,Sample X27,110411
C04,Sample X28,175643
C05,Sample X29,176563
C06,Sample X30,177317
C07,Sample X31,216074
C08,Sample X32,216035
C09,Sample X33,217184
C10,Sample X34,235377
C11,Sample X35,235743
C12,Sample X36,235243
D01,Sample X37,4506
D02,Sample X38,5368
D03,Sample X39,5392
D04,Sample X40,7473
D05,Sample X41,6108
D06,Sample X42,2355
D07,Sample X43,2265
D08,Sample X44,3542
D09,Sample X45,2987
D10,Sample X46,3089
D11,Sample X47,4196
D12,Sample X48,2919
E01,Sample X49,2950
E02,Sample X50,2792
E03,Sample X51,3083
E04,Sample X52,2664
E05,Sample X53,2706
E06,Sample X54,5328
E07,Sample X55,3255
E08,Sample X56,3112
E09,Sample X57,8726
E10,Sample X58,3985
E11,Sample X59,3847
E12,Sample X60,5753
F01,Sample X61,4572
F02,Sample X62,10421
F03,Sample X63,9665
F04,Sample X64,13545
F05,Sample X65,15919
F06,Sample X66,14886
F07,Sample X67,8015
F08,Sample X68,7996
F09,Sample X69,8992
F10,Sample X70,9652
F11,Sample X71,14574
F12,Sample X72,3298
G01,Sample X73,3465
G02,Sample X74,6237
G03,Sample X75,4005
G04,Sample X76,3990
G05,Sample X77,240
G06,Sample X78,154
G07,Sample X79,147
G08,Sample X80,136
G09,Sample X81,150
G10,Sample X82,722
G11,Sample X83,787
G12,Sample X84,752
