User: USER,,
Path: C:\Program Files (x86)\BMG\CLARIOstar\User\Data\,,
Test ID: 395,,
Test Name: LUKA,,
Date: 09/11/2021,,
Time: 12:55:48,,
Fluorescence (FI),,
,,
,,
Well,Content, Raw Data (360-20/450-30)
A01,Sample X1,1571
A02,Sample X2,1814
A03,Sample X3,1750
A04,Sample X4,2635
A05,Sample X5,2676
A06,Sample X6,2630
A07,Sample X7,4152
A08,Sample X8,4606
A09,Sample X9,4298
A10,Sample X10,8732
A11,Sample X11,8821
A12,Sample X12,6419
B01,Sample X13,10456
B02,Sample X14,10782
B03,Sample X15,10977
B04,Sample X16,22248
B05,Sample X17,22737
B06,Sample X18,22794
B07,Sample X19,44895
B08,Sample X20,46066
B09,Sample X21,45934
B10,Sample X22,73369
B11,Sample X23,74199
B12,Sample X24,71973
C01,Sample X25,84167
C02,Sample X26,86390
C03,Sample X27,85398
C04,Sample X28,102025
C05,Sample X29,104297
C06,Sample X30,104463
C07,Sample X31,163665
C08,Sample X32,165126
C09,Sample X33,158614
C10,Sample X34,215389
C11,Sample X35,215204
C12,Sample X36,214738
D01,Sample X37,218764
D02,Sample X38,220985
D03,Sample X39,221464
D04,Sample X40,236219
D05,Sample X41,237591
D06,Sample X42,237510
D07,Sample X43,1240
D08,Sample X44,921
D09,Sample X45,1130
D10,Sample X46,806
D11,Sample X47,861
D12,Sample X48,870
E01,Sample X49,1039
E02,Sample X50,1388
E03,Sample X51,1507
E04,Sample X52,1797
E05,Sample X53,5270
E06,Sample X54,3817
E07,Sample X55,3982
E08,Sample X56,3844
E09,Sample X57,4079
E10,Sample X58,12651
E11,Sample X59,13104
E12,Sample X60,12706
F01,Sample X61,13166
F02,Sample X62,13800
F03,Sample X63,9449
F04,Sample X64,11084
F05,Sample X65,11370
F06,Sample X66,15433
F07,Sample X67,15556
F08,Sample X68,4902
F09,Sample X69,4845
F10,Sample X70,4946
F11,Sample X71,5095
F12,Sample X72,5721
G01,Sample X73,4134
G02,Sample X74,4015
G03,Sample X75,4207
G04,Sample X76,4632
G05,Sample X77,5657
G06,Sample X78,6379
G07,Sample X79,5745
G08,Sample X80,5741
G09,Sample X81,6215
G10,Sample X82,7603
G11,Sample X83,17524
G12,Sample X84,17072
H01,Sample X85,16970
H02,Sample X86,16430
H03,Sample X87,16134
H04,Sample X88,134
H05,Sample X89,182
H06,Sample X90,126
H07,Sample X91,121
H08,Sample X92,163
H09,Sample X93,521
H10,Sample X94,519
H11,Sample X95,505
