User: USER,,
Path: C:\Program Files (x86)\BMG\CLARIOstar\User\Data\,,
Test ID: 367,,
Test Name: LUKA,,
Date: 28/10/2021,,
Time: 12:51:00,,
Fluorescence (FI),,
,,
,,
Well,Content, Raw Data (360-20/450-30)
A01,Sample X1,2353
A02,Sample X2,2596
A03,Sample X3,2211
A04,Sample X4,2522
A05,Sample X5,2504
A06,Sample X6,2398
A07,Sample X7,3224
A08,Sample X8,3371
A09,Sample X9,3324
A10,Sample X10,6855
A11,Sample X11,4359
A12,Sample X12,4391
B01,Sample X13,5730
B02,Sample X14,5916
B03,Sample X15,5960
B04,Sample X16,27467
B05,Sample X17,9382
B06,Sample X18,7970
B07,Sample X19,15997
B08,Sample X20,16330
B09,Sample X21,16539
B10,Sample X22,28090
B11,Sample X23,27798
B12,Sample X24,27765
C01,Sample X25,49556
C02,Sample X26,49284
C03,Sample X27,49838
C04,Sample X28,158219
C05,Sample X29,158875
C06,Sample X30,158771
C07,Sample X31,215538
C08,Sample X32,213215
C09,Sample X33,209880
C10,Sample X34,236249
C11,Sample X35,217349
C12,Sample X36,217921
D01,Sample X37,4905
D02,Sample X38,5258
D03,Sample X39,4664
D04,Sample X40,5147
D05,Sample X41,5250
D06,Sample X42,3377
D07,Sample X43,3437
D08,Sample X44,3350
D09,Sample X45,3644
D10,Sample X46,3460
D11,Sample X47,18120
D12,Sample X48,18308
E01,Sample X49,18217
E02,Sample X50,18050
E03,Sample X51,18231
E04,Sample X52,6347
E05,Sample X53,6518
E06,Sample X54,6960
E07,Sample X55,6750
E08,Sample X56,7197
E09,Sample X57,4143
E10,Sample X58,4164
E11,Sample X59,4162
E12,Sample X60,4142
F01,Sample X61,4177
F02,Sample X62,3755
F03,Sample X63,3680
F04,Sample X64,3681
F05,Sample X65,4112
F06,Sample X66,5530
F07,Sample X67,367
F08,Sample X68,342
F09,Sample X69,434
F10,Sample X70,355
F11,Sample X71,350
F12,Sample X72,395
