User: USER,,
Path: C:\Program Files (x86)\BMG\CLARIOstar\User\Data\,,
Test ID: 352,,
Test Name: LUKA,,
Date: 20/10/2021,,
Time: 12:13:45,,
Fluorescence (FI),,
,,
,,
Well,Content, Raw Data (360-20/450-30)
A01,Sample X1,1239
A02,Sample X2,988
A03,Sample X3,990
A04,Sample X4,1899
A05,Sample X5,1787
A06,Sample X6,1795
A07,Sample X7,3382
A08,Sample X8,2893
A09,Sample X9,2805
A10,Sample X10,4897
A11,Sample X11,4865
A12,Sample X12,4884
B01,Sample X13,6693
B02,Sample X14,7590
B03,Sample X15,6654
B04,Sample X16,11802
B05,Sample X17,11821
B06,Sample X18,12258
B07,Sample X19,19653
B08,Sample X20,19502
B09,Sample X21,18966
B10,Sample X22,31834
B11,Sample X23,31338
B12,Sample X24,31479
C01,Sample X25,73762
C02,Sample X26,73869
C03,Sample X27,72055
C04,Sample X28,190885
C05,Sample X29,184247
C06,Sample X30,180981
C07,Sample X31,236413
C08,Sample X32,223920
C09,Sample X33,222407
C10,Sample X34,184193
C11,Sample X35,170771
C12,Sample X36,175046
D01,Sample X37,1618
D02,Sample X38,655
D03,Sample X39,632
D04,Sample X40,5563
D05,Sample X41,2949
D06,Sample X42,2534
D07,Sample X43,1933
D08,Sample X44,1148
D09,Sample X45,1971
D10,Sample X46,8795
D11,Sample X47,934
D12,Sample X48,648
E01,Sample X49,2130
E02,Sample X50,781
E03,Sample X51,667
E04,Sample X52,11816
E05,Sample X53,1563
E06,Sample X54,800
E07,Sample X55,1202
E08,Sample X56,1147
E09,Sample X57,1148
E10,Sample X58,997
E11,Sample X59,917
E12,Sample X60,1062
F01,Sample X61,1328
F02,Sample X62,1278
F03,Sample X63,1254
F04,Sample X64,2037
F05,Sample X65,1996
F06,Sample X66,1935
F07,Sample X67,1866
F08,Sample X68,1749
F09,Sample X69,1688
F10,Sample X70,2487
F11,Sample X71,1733
F12,Sample X72,1746
G01,Sample X73,6268
G02,Sample X74,6202
G03,Sample X75,6133
G04,Sample X76,7619
G05,Sample X77,6961
G06,Sample X78,6693
G07,Sample X79,2964
G08,Sample X80,2765
G09,Sample X81,2848
G10,Sample X82,2465
G11,Sample X83,2569
G12,Sample X84,2542
