User: USER,,
Path: C:\Program Files (x86)\BMG\CLARIOstar\User\Data\,,
Test ID: 481,,
Test Name: LUKA,,
Date: 10/12/2021,,
Time: 09:42:10,,
Fluorescence (FI),,
,,
,,
Well,Content, Raw Data (360-20/450-30)
A01,Sample X1,333
A02,Sample X2,415
A03,Sample X3,581
A04,Sample X4,1692
A05,Sample X5,1858
A06,Sample X6,1820
A07,Sample X7,2847
A08,Sample X8,2827
A09,Sample X9,2964
A10,Sample X10,4168
A11,Sample X11,4246
A12,Sample X12,4203
B01,Sample X13,4825
B02,Sample X14,5212
B03,Sample X15,5422
B04,Sample X16,9488
B05,Sample X17,9425
B06,Sample X18,9478
B07,Sample X19,23558
B08,Sample X20,23292
B09,Sample X21,24589
B10,Sample X22,43917
B11,Sample X23,44381
B12,Sample X24,45926
C01,Sample X25,91311
C02,Sample X26,91033
C03,Sample X27,102761
C04,Sample X28,157838
C05,Sample X29,168867
C06,Sample X30,163226
C07,Sample X31,204088
C08,Sample X32,203146
C09,Sample X33,204484
C10,Sample X34,232151
C11,Sample X35,233932
C12,Sample X36,236273
D01,Sample X37,72513
D02,Sample X38,74521
D03,Sample X39,83011
D04,Sample X40,80863
D05,Sample X41,84471
D06,Sample X42,44728
D07,Sample X43,45035
D08,Sample X44,46915
D09,Sample X45,49918
D10,Sample X46,45966
D11,Sample X47,17905
D12,Sample X48,16896
E01,Sample X49,17568
E02,Sample X50,16655
E03,Sample X51,18659
E04,Sample X52,8581
E05,Sample X53,8502
E06,Sample X54,8578
E07,Sample X55,8892
E08,Sample X56,8357
E09,Sample X57,31912
E10,Sample X58,29715
E11,Sample X59,28808
E12,Sample X60,29386
F01,Sample X61,28125
F02,Sample X62,12611
F03,Sample X63,12677
F04,Sample X64,12269
F05,Sample X65,12587
F06,Sample X66,12671
F07,Sample X67,14034
F08,Sample X68,14450
F09,Sample X69,14117
F10,Sample X70,14580
F11,Sample X71,14441
F12,Sample X72,7810
G01,Sample X73,7970
G02,Sample X74,7653
G03,Sample X75,7769
G04,Sample X76,7693
G05,Sample X77,12808
G06,Sample X78,13049
G07,Sample X79,13014
G08,Sample X80,12925
G09,Sample X81,14004
G10,Sample X82,3147
G11,Sample X83,2408
G12,Sample X84,1780
H01,Sample X85,1189
H02,Sample X86,947
H03,Sample X87,1114
H04,Sample X88,1074
H05,Sample X89,259
H06,Sample X90,207
H07,Sample X91,161
H08,Sample X92,142
H09,Sample X93,146
H10,Sample X94,193
H11,Sample X95,145
H12,Sample X96,145
