User: USER,,
Path: C:\Program Files (x86)\BMG\CLARIOstar\User\Data\,,
Test ID: 371,,
Test Name: LUKA,,
Date: 28/10/2021,,
Time: 13:36:31,,
Fluorescence (FI),,
,,
,,
Well,Content, Raw Data (360-20/450-30)
A01,Sample X1,2784
A02,Sample X2,3551
A03,Sample X3,4381
A04,Sample X4,3169
A05,Sample X5,2829
A06,Sample X6,2758
A07,Sample X7,3578
A08,Sample X8,3747
A09,Sample X9,3779
A10,Sample X10,4893
A11,Sample X11,5155
A12,Sample X12,5357
B01,Sample X13,6390
B02,Sample X14,6668
B03,Sample X15,6728
B04,Sample X16,7995
B05,Sample X17,8422
B06,Sample X18,8339
B07,Sample X19,17535
B08,Sample X20,18030
B09,Sample X21,18003
B10,Sample X22,29907
B11,Sample X23,30336
B12,Sample X24,30357
C01,Sample X25,52820
C02,Sample X26,54391
C03,Sample X27,54534
C04,Sample X28,171404
C05,Sample X29,171545
C06,Sample X30,172154
C07,Sample X31,232967
C08,Sample X32,227240
C09,Sample X33,225779
C10,Sample X34,237698
C11,Sample X35,220933
C12,Sample X36,220196
D01,Sample X37,50804
D02,Sample X38,44675
D03,Sample X39,43774
D04,Sample X40,49284
D05,Sample X41,51817
D06,Sample X42,6452
D07,Sample X43,7565
D08,Sample X44,7570
D09,Sample X45,7101
D10,Sample X46,7776
D11,Sample X47,42229
D12,Sample X48,48169
E01,Sample X49,60804
E02,Sample X50,56979
E03,Sample X51,60386
E04,Sample X52,7801
E05,Sample X53,7831
E06,Sample X54,7887
E07,Sample X55,7985
E08,Sample X56,7693
E09,Sample X57,3171
E10,Sample X58,3234
E11,Sample X59,3350
E12,Sample X60,3403
F01,Sample X61,3432
F02,Sample X62,1268
F03,Sample X63,1344
F04,Sample X64,1286
F05,Sample X65,1482
F06,Sample X66,1386
F07,Sample X67,31019
F08,Sample X68,2576
F09,Sample X69,559
F10,Sample X70,399
F11,Sample X71,705
F12,Sample X72,360
