User: USER,,
Path: C:\Program Files (x86)\BMG\CLARIOstar\User\Data\,,
Test ID: 440,,
Test Name: LUKA,,
Date: 26/11/2021,,
Time: 09:37:50,,
Fluorescence (FI),,
,,
,,
Well,Content, Raw Data (360-20/450-30)
A01,Sample X1,403
A02,Sample X2,340
A03,Sample X3,330
A04,Sample X4,1486
A05,Sample X5,1449
A06,Sample X6,1557
A07,Sample X7,2834
A08,Sample X8,2940
A09,Sample X9,3108
A10,Sample X10,4242
A11,Sample X11,4498
A12,Sample X12,4430
B01,Sample X13,5155
B02,Sample X14,5405
B03,Sample X15,4455
B04,Sample X16,6740
B05,Sample X17,11321
B06,Sample X18,10798
B07,Sample X19,25412
B08,Sample X20,26641
B09,Sample X21,27244
B10,Sample X22,46427
B11,Sample X23,49017
B12,Sample X24,47913
C01,Sample X25,96011
C02,Sample X26,101272
C03,Sample X27,96166
C04,Sample X28,160595
C05,Sample X29,167190
C06,Sample X30,168473
C07,Sample X31,206544
C08,Sample X32,209905
C09,Sample X33,210766
C10,Sample X34,230543
C11,Sample X35,234956
C12,Sample X36,233992
D01,Sample X37,8980
D02,Sample X38,8871
D03,Sample X39,9441
D04,Sample X40,10208
D05,Sample X41,10330
D06,Sample X42,9349
D07,Sample X43,9604
D08,Sample X44,9724
D09,Sample X45,9524
D10,Sample X46,9829
D11,Sample X47,11008
D12,Sample X48,10799
E01,Sample X49,10856
E02,Sample X50,10898
E03,Sample X51,11314
E04,Sample X52,12861
E05,Sample X53,12666
E06,Sample X54,13019
E07,Sample X55,12216
E08,Sample X56,13198
E09,Sample X57,11151
E10,Sample X58,11387
E11,Sample X59,10680
E12,Sample X60,11630
F01,Sample X61,10442
F02,Sample X62,10905
F03,Sample X63,10674
F04,Sample X64,10661
F05,Sample X65,10849
F06,Sample X66,11953
F07,Sample X67,11938
F08,Sample X68,11618
F09,Sample X69,11767
F10,Sample X70,11593
F11,Sample X71,11796
F12,Sample X72,16900
G01,Sample X73,16630
G02,Sample X74,16548
G03,Sample X75,17097
G04,Sample X76,17514
G05,Sample X77,11470
G06,Sample X78,11184
G07,Sample X79,11010
G08,Sample X80,11467
G09,Sample X81,11451
G10,Sample X82,1242
G11,Sample X83,466
G12,Sample X84,221
H01,Sample X85,142
H02,Sample X86,143
H03,Sample X87,593
H04,Sample X88,565
H05,Sample X89,591
