User: USER,,
Path: C:\Program Files (x86)\BMG\CLARIOstar\User\Data\,,
Test ID: 396,,
Test Name: LUKA,,
Date: 09/11/2021,,
Time: 13:15:15,,
Fluorescence (FI),,
,,
,,
Well,Content, Raw Data (360-20/450-30)
A01,Sample X1,1445
A02,Sample X2,1689
A03,Sample X3,1720
A04,Sample X4,2446
A05,Sample X5,2545
A06,Sample X6,2526
A07,Sample X7,4202
A08,Sample X8,4110
A09,Sample X9,4075
A10,Sample X10,8481
A11,Sample X11,8762
A12,Sample X12,8454
B01,Sample X13,10062
B02,Sample X14,10364
B03,Sample X15,10459
B04,Sample X16,21212
B05,Sample X17,21590
B06,Sample X18,21493
B07,Sample X19,42509
B08,Sample X20,43713
B09,Sample X21,44435
B10,Sample X22,70266
B11,Sample X23,72253
B12,Sample X24,68263
C01,Sample X25,80516
C02,Sample X26,81364
C03,Sample X27,83244
C04,Sample X28,98698
C05,Sample X29,99592
C06,Sample X30,101375
C07,Sample X31,158455
C08,Sample X32,159246
C09,Sample X33,157104
C10,Sample X34,211796
C11,Sample X35,213144
C12,Sample X36,212821
D01,Sample X37,214462
D02,Sample X38,217914
D03,Sample X39,218727
D04,Sample X40,233886
D05,Sample X41,235070
D06,Sample X42,236031
D07,Sample X43,18886
D08,Sample X44,19564
D09,Sample X45,21262
D10,Sample X46,22051
D11,Sample X47,26741
D12,Sample X48,4306
E01,Sample X49,4380
E02,Sample X50,5050
E03,Sample X51,4496
E04,Sample X52,4924
E05,Sample X53,31892
E06,Sample X54,32529
E07,Sample X55,34063
E08,Sample X56,37257
E09,Sample X57,42445
E10,Sample X58,38602
E11,Sample X59,42856
E12,Sample X60,46695
F01,Sample X61,42611
F02,Sample X62,48121
F03,Sample X63,20968
F04,Sample X64,21570
F05,Sample X65,20863
F06,Sample X66,20241
F07,Sample X67,20682
F08,Sample X68,9102
F09,Sample X69,9034
F10,Sample X70,9444
F11,Sample X71,9363
F12,Sample X72,9826
G01,Sample X73,3476
G02,Sample X74,3400
G03,Sample X75,3823
G04,Sample X76,6760
G05,Sample X77,4230
G06,Sample X78,13399
G07,Sample X79,13772
G08,Sample X80,13657
G09,Sample X81,13782
G10,Sample X82,13748
G11,Sample X83,295
G12,Sample X84,134
H01,Sample X85,131
H02,Sample X86,114
H03,Sample X87,136
H04,Sample X88,736
H05,Sample X89,737
H06,Sample X90,755
