User: USER,,
Path: C:\Program Files (x86)\BMG\CLARIOstar\User\Data\,,
Test ID: 430,,
Test Name: LUKA,,
Date: 23/11/2021,,
Time: 11:53:09,,
Fluorescence (FI),,
,,
,,
Well,Content, Raw Data (360-20/450-30)
A01,Sample X1,972
A02,Sample X2,1049
A03,Sample X3,823
A04,Sample X4,1982
A05,Sample X5,2024
A06,Sample X6,2074
A07,Sample X7,3606
A08,Sample X8,3701
A09,Sample X9,3695
A10,Sample X10,5406
A11,Sample X11,5512
A12,Sample X12,5430
B01,Sample X13,6458
B02,Sample X14,6832
B03,Sample X15,6870
B04,Sample X16,12804
B05,Sample X17,12985
B06,Sample X18,13133
B07,Sample X19,30121
B08,Sample X20,30687
B09,Sample X21,30895
B10,Sample X22,55884
B11,Sample X23,55833
B12,Sample X24,56208
C01,Sample X25,112502
C02,Sample X26,113586
C03,Sample X27,114841
C04,Sample X28,180207
C05,Sample X29,181043
C06,Sample X30,181109
C07,Sample X31,220131
C08,Sample X32,220075
C09,Sample X33,220140
C10,Sample X34,234250
C11,Sample X35,233784
C12,Sample X36,235228
D01,Sample X37,7034
D02,Sample X38,7117
D03,Sample X39,7121
D04,Sample X40,8230
D05,Sample X41,8089
D06,Sample X42,13485
D07,Sample X43,13335
D08,Sample X44,13234
D09,Sample X45,13525
D10,Sample X46,13713
D11,Sample X47,12473
D12,Sample X48,7660
E01,Sample X49,9665
E02,Sample X50,10357
E03,Sample X51,9274
E04,Sample X52,2423
E05,Sample X53,2714
E06,Sample X54,3633
E07,Sample X55,3435
E08,Sample X56,3680
E09,Sample X57,6509
E10,Sample X58,6889
E11,Sample X59,6319
E12,Sample X60,6316
F01,Sample X61,6487
F02,Sample X62,3077
F03,Sample X63,3080
F04,Sample X64,3130
F05,Sample X65,3325
F06,Sample X66,3556
F07,Sample X67,3684
F08,Sample X68,3945
F09,Sample X69,3863
F10,Sample X70,3900
F11,Sample X71,3765
F12,Sample X72,9252
G01,Sample X73,2516
G02,Sample X74,2457
G03,Sample X75,2556
G04,Sample X76,2549
G05,Sample X77,2174
G06,Sample X78,2205
G07,Sample X79,2203
G08,Sample X80,2351
G09,Sample X81,2377
G10,Sample X82,1500
G11,Sample X83,1515
G12,Sample X84,1512
H01,Sample X85,1571
H02,Sample X86,1655
H03,Sample X87,164
H04,Sample X88,179
H05,Sample X89,177
H06,Sample X90,167
H07,Sample X91,172
H08,Sample X92,689
H09,Sample X93,685
H10,Sample X94,692
H11,Sample X95,692
H12,Sample X96,637
