User: USER,,
Path: C:\Program Files (x86)\BMG\CLARIOstar\User\Data\,,
Test ID: 409,,
Test Name: LUKA,,
Date: 16/11/2021,,
Time: 11:43:32,,
Fluorescence (FI),,
,,
,,
Well,Content, Raw Data (360-20/450-30)
A01,Sample X1,1960
A02,Sample X2,2207
A03,Sample X3,2229
A04,Sample X4,12905
A05,Sample X5,13471
A06,Sample X6,13619
A07,Sample X7,5650
A08,Sample X8,5889
A09,Sample X9,5947
A10,Sample X10,7227
A11,Sample X11,7655
A12,Sample X12,7611
B01,Sample X13,8756
B02,Sample X14,9317
B03,Sample X15,9896
B04,Sample X16,14170
B05,Sample X17,15098
B06,Sample X18,15576
B07,Sample X19,28335
B08,Sample X20,30444
B09,Sample X21,30239
B10,Sample X22,53916
B11,Sample X23,56617
B12,Sample X24,55851
C01,Sample X25,102970
C02,Sample X26,109856
C03,Sample X27,110454
C04,Sample X28,171008
C05,Sample X29,176766
C06,Sample X30,177261
C07,Sample X31,213259
C08,Sample X32,216530
C09,Sample X33,216470
C10,Sample X34,235091
C11,Sample X35,235887
C12,Sample X36,236292
D01,Sample X37,26880
D02,Sample X38,46430
D03,Sample X39,14450
D04,Sample X40,17006
D05,Sample X41,14909
D06,Sample X42,10194
D07,Sample X43,10603
D08,Sample X44,10828
D09,Sample X45,11519
D10,Sample X46,12062
D11,Sample X47,11411
D12,Sample X48,11669
E01,Sample X49,12407
E02,Sample X50,18203
E03,Sample X51,16780
E04,Sample X52,45086
E05,Sample X53,45192
E06,Sample X54,41265
E07,Sample X55,42954
E08,Sample X56,51226
E09,Sample X57,27464
E10,Sample X58,10899
E11,Sample X59,11831
E12,Sample X60,15333
F01,Sample X61,13924
F02,Sample X62,17088
F03,Sample X63,16544
F04,Sample X64,18290
F05,Sample X65,16871
F06,Sample X66,18365
F07,Sample X67,19728
F08,Sample X68,17645
F09,Sample X69,19460
F10,Sample X70,20053
F11,Sample X71,23130
F12,Sample X72,24130
G01,Sample X73,22214
G02,Sample X74,26540
G03,Sample X75,25854
G04,Sample X76,25862
G05,Sample X77,844
G06,Sample X78,187
G07,Sample X79,273
G08,Sample X80,148
G09,Sample X81,137
G10,Sample X82,464
G11,Sample X83,478
G12,Sample X84,496
