User: USER,,
Path: C:\Program Files (x86)\BMG\CLARIOstar\User\Data\,,
Test ID: 379,,
Test Name: LUKA,,
Date: 03/11/2021,,
Time: 12:37:24,,
Fluorescence (FI),,
,,
,,
Well,Content, Raw Data (360-20/450-30)
A01,Sample X1,5711
A02,Sample X2,400
A03,Sample X3,145
A04,Sample X4,174
A05,Sample X5,121
A06,Sample X6,131
A07,Sample X7,1659
A08,Sample X8,2713
A09,Sample X9,1704
A10,Sample X10,2112
A11,Sample X11,2105
A12,Sample X12,2120
B01,Sample X13,2535
B02,Sample X14,2811
B03,Sample X15,2758
B04,Sample X16,3042
B05,Sample X17,3043
B06,Sample X18,3043
B07,Sample X19,4803
B08,Sample X20,5034
B09,Sample X21,4926
B10,Sample X22,6103
B11,Sample X23,6300
B12,Sample X24,6251
C01,Sample X25,12340
C02,Sample X26,12846
C03,Sample X27,12501
C04,Sample X28,26348
C05,Sample X29,27174
C06,Sample X30,27107
C07,Sample X31,46360
C08,Sample X32,48023
C09,Sample X33,48054
C10,Sample X34,83178
C11,Sample X35,85087
C12,Sample X36,83765
D01,Sample X37,157386
D02,Sample X38,160075
D03,Sample X39,160777
D04,Sample X40,234548
D05,Sample X41,236694
D06,Sample X42,235786
D07,Sample X43,19438
D08,Sample X44,19514
D09,Sample X45,19800
D10,Sample X46,19882
D11,Sample X47,19778
D12,Sample X48,23656
E01,Sample X49,23587
E02,Sample X50,23088
E03,Sample X51,23237
E04,Sample X52,23211
E05,Sample X53,14220
E06,Sample X54,13920
E07,Sample X55,14003
E08,Sample X56,13825
E09,Sample X57,14131
E10,Sample X58,9806
E11,Sample X59,9761
E12,Sample X60,9702
F01,Sample X61,9342
F02,Sample X62,9428
F03,Sample X63,29823
F04,Sample X64,29362
F05,Sample X65,31383
F06,Sample X66,30791
F07,Sample X67,31206
F08,Sample X68,5892
F09,Sample X69,5818
F10,Sample X70,5867
F11,Sample X71,5924
F12,Sample X72,5964
G01,Sample X73,4778
G02,Sample X74,4684
G03,Sample X75,4556
G04,Sample X76,4600
G05,Sample X77,4732
G06,Sample X78,7959
G07,Sample X79,8355
G08,Sample X80,8426
G09,Sample X81,8701
G10,Sample X82,8619
G11,Sample X83,605
G12,Sample X84,571
H01,Sample X85,521
H02,Sample X86,662
H03,Sample X87,662
H04,Sample X88,676
H05,Sample X89,683
