User: USER,,
Path: C:\Program Files (x86)\BMG\CLARIOstar\User\Data\,,
Test ID: 410,,
Test Name: LUKA,,
Date: 16/11/2021,,
Time: 12:00:58,,
Fluorescence (FI),,
,,
,,
Well,Content, Raw Data (360-20/450-30)
A01,Sample X1,2145
A02,Sample X2,1928
A03,Sample X3,2091
A04,Sample X4,11049
A05,Sample X5,11921
A06,Sample X6,12006
A07,Sample X7,5038
A08,Sample X8,5264
A09,Sample X9,5110
A10,Sample X10,6331
A11,Sample X11,6729
A12,Sample X12,6544
B01,Sample X13,7512
B02,Sample X14,7850
B03,Sample X15,8182
B04,Sample X16,12407
B05,Sample X17,13151
B06,Sample X18,13208
B07,Sample X19,25800
B08,Sample X20,26830
B09,Sample X21,26800
B10,Sample X22,47299
B11,Sample X23,50493
B12,Sample X24,49666
C01,Sample X25,92429
C02,Sample X26,98486
C03,Sample X27,100098
C04,Sample X28,156414
C05,Sample X29,167266
C06,Sample X30,168971
C07,Sample X31,205890
C08,Sample X32,209051
C09,Sample X33,208271
C10,Sample X34,231986
C11,Sample X35,235531
C12,Sample X36,235652
D01,Sample X37,64994
D02,Sample X38,65758
D03,Sample X39,74112
D04,Sample X40,75497
D05,Sample X41,81471
D06,Sample X42,28751
D07,Sample X43,30205
D08,Sample X44,32122
D09,Sample X45,29473
D10,Sample X46,37189
D11,Sample X47,14258
D12,Sample X48,22315
E01,Sample X49,44258
E02,Sample X50,32280
E03,Sample X51,28767
E04,Sample X52,77935
E05,Sample X53,73493
E06,Sample X54,82283
E07,Sample X55,94372
E08,Sample X56,77977
E09,Sample X57,27645
E10,Sample X58,28034
E11,Sample X59,51369
E12,Sample X60,28518
F01,Sample X61,26601
F02,Sample X62,50795
F03,Sample X63,50124
F04,Sample X64,50388
F05,Sample X65,51665
F06,Sample X66,54990
F07,Sample X67,20120
F08,Sample X68,20347
F09,Sample X69,21099
F10,Sample X70,22745
F11,Sample X71,25560
F12,Sample X72,132433
G01,Sample X73,105307
G02,Sample X74,116472
G03,Sample X75,114811
G04,Sample X76,119926
G05,Sample X77,1159
G06,Sample X78,269
G07,Sample X79,148
G08,Sample X80,122
G09,Sample X81,118
G10,Sample X82,434
G11,Sample X83,446
G12,Sample X84,427
