User: USER,,
Path: C:\Program Files (x86)\BMG\CLARIOstar\User\Data\,,
Test ID: 381,,
Test Name: LUKA,,
Date: 03/11/2021,,
Time: 12:59:59,,
Fluorescence (FI),,
,,
,,
Well,Content, Raw Data (360-20/450-30)
A01,Sample X1,411
A02,Sample X2,563
A03,Sample X3,110
A04,Sample X4,122
A05,Sample X5,127
A06,Sample X6,381
A07,Sample X7,1644
A08,Sample X8,1858
A09,Sample X9,1692
A10,Sample X10,2173
A11,Sample X11,2168
A12,Sample X12,2091
B01,Sample X13,2690
B02,Sample X14,2717
B03,Sample X15,2799
B04,Sample X16,3069
B05,Sample X17,3079
B06,Sample X18,3155
B07,Sample X19,5008
B08,Sample X20,4916
B09,Sample X21,4969
B10,Sample X22,6603
B11,Sample X23,6214
B12,Sample X24,6195
C01,Sample X25,12532
C02,Sample X26,12583
C03,Sample X27,12692
C04,Sample X28,26783
C05,Sample X29,26958
C06,Sample X30,26710
C07,Sample X31,47209
C08,Sample X32,47508
C09,Sample X33,48775
C10,Sample X34,83568
C11,Sample X35,86442
C12,Sample X36,86746
D01,Sample X37,158218
D02,Sample X38,161509
D03,Sample X39,159697
D04,Sample X40,236161
D05,Sample X41,237666
D06,Sample X42,237263
D07,Sample X43,12728
D08,Sample X44,9574
D09,Sample X45,8603
D10,Sample X46,10436
D11,Sample X47,9005
D12,Sample X48,13438
E01,Sample X49,13470
E02,Sample X50,13402
E03,Sample X51,12979
E04,Sample X52,13319
E05,Sample X53,7743
E06,Sample X54,7543
E07,Sample X55,7376
E08,Sample X56,7394
E09,Sample X57,7629
E10,Sample X58,6091
E11,Sample X59,6385
E12,Sample X60,6396
F01,Sample X61,5939
F02,Sample X62,5840
F03,Sample X63,52179
F04,Sample X64,50617
F05,Sample X65,49840
F06,Sample X66,49013
F07,Sample X67,50441
F08,Sample X68,6728
F09,Sample X69,6213
F10,Sample X70,6161
F11,Sample X71,5822
F12,Sample X72,6089
G01,Sample X73,10670
G02,Sample X74,10659
G03,Sample X75,10341
G04,Sample X76,10756
G05,Sample X77,10280
G06,Sample X78,5156
G07,Sample X79,5199
G08,Sample X80,5247
G09,Sample X81,5334
G10,Sample X82,5315
G11,Sample X83,1079
G12,Sample X84,597
H01,Sample X85,528
H02,Sample X86,722
H03,Sample X87,564
H04,Sample X88,577
