User: USER,,
Path: C:\Program Files (x86)\BMG\CLARIOstar\User\Data\,,
Test ID: 418,,
Test Name: LUKA,,
Date: 19/11/2021,,
Time: 10:58:46,,
Fluorescence (FI),,
,,
,,
Well,Content, Raw Data (360-20/450-30)
A01,Sample X1,2214
A02,Sample X2,2304
A03,Sample X3,2319
A04,Sample X4,3694
A05,Sample X5,3563
A06,Sample X6,3612
A07,Sample X7,4890
A08,Sample X8,5078
A09,Sample X9,5140
A10,Sample X10,6384
A11,Sample X11,6709
A12,Sample X12,7272
B01,Sample X13,7552
B02,Sample X14,7749
B03,Sample X15,7791
B04,Sample X16,11854
B05,Sample X17,12215
B06,Sample X18,12299
B07,Sample X19,29130
B08,Sample X20,29134
B09,Sample X21,29772
B10,Sample X22,53221
B11,Sample X23,54811
B12,Sample X24,54250
C01,Sample X25,110189
C02,Sample X26,111913
C03,Sample X27,111955
C04,Sample X28,176473
C05,Sample X29,177364
C06,Sample X30,179536
C07,Sample X31,217386
C08,Sample X32,218205
C09,Sample X33,218051
C10,Sample X34,233388
C11,Sample X35,235247
C12,Sample X36,235632
D01,Sample X37,2569
D02,Sample X38,2538
D03,Sample X39,2505
D04,Sample X40,2474
D05,Sample X41,2570
D06,Sample X42,2736
D07,Sample X43,2615
D08,Sample X44,2717
D09,Sample X45,2909
D10,Sample X46,2907
D11,Sample X47,4341
D12,Sample X48,4250
E01,Sample X49,4322
E02,Sample X50,4201
E03,Sample X51,4398
E04,Sample X52,2350
E05,Sample X53,2346
E06,Sample X54,2324
E07,Sample X55,2403
E08,Sample X56,2410
E09,Sample X57,2553
E10,Sample X58,2546
E11,Sample X59,2560
E12,Sample X60,2667
F01,Sample X61,2840
F02,Sample X62,3991
F03,Sample X63,4229
F04,Sample X64,4218
F05,Sample X65,4214
F06,Sample X66,4200
F07,Sample X67,3869
F08,Sample X68,4177
F09,Sample X69,4231
F10,Sample X70,4198
F11,Sample X71,4302
F12,Sample X72,2716
G01,Sample X73,2678
G02,Sample X74,2596
G03,Sample X75,2517
G04,Sample X76,2633
G05,Sample X77,260
G06,Sample X78,167
G07,Sample X79,251
G08,Sample X80,143
G09,Sample X81,146
G10,Sample X82,749
G11,Sample X83,797
G12,Sample X84,795
H01,Sample X85,825
H02,Sample X86,554
