User: USER,,
Path: C:\Program Files (x86)\BMG\CLARIOstar\User\Data\,,
Test ID: 350,,
Test Name: LUKA,,
Date: 19/10/2021,,
Time: 14:56:38,,
Fluorescence (FI),,
,,
,,
Well,Content, Raw Data (360-20/450-30)
A01,Sample X1,481
A02,Sample X2,476
A03,Sample X3,471
A04,Sample X4,1328
A05,Sample X5,1323
A06,Sample X6,1325
A07,Sample X7,2470
A08,Sample X8,2485
A09,Sample X9,2457
A10,Sample X10,4605
A11,Sample X11,4583
A12,Sample X12,4578
B01,Sample X13,6396
B02,Sample X14,6369
B03,Sample X15,6402
B04,Sample X16,12333
B05,Sample X17,12239
B06,Sample X18,12222
B07,Sample X19,15644
B08,Sample X20,15540
B09,Sample X21,15576
B10,Sample X22,33686
B11,Sample X23,33099
B12,Sample X24,34161
C01,Sample X25,91556
C02,Sample X26,90233
C03,Sample X27,89939
C04,Sample X28,199743
C05,Sample X29,194427
C06,Sample X30,195205
C07,Sample X31,234904
C08,Sample X32,233895
C09,Sample X33,230607
C10,Sample X34,189278
C11,Sample X35,174445
C12,Sample X36,181632
D01,Sample X37,51655
D02,Sample X38,8450
D03,Sample X39,7157
D04,Sample X40,2000
D05,Sample X41,1214
D06,Sample X42,1254
D07,Sample X43,306
D08,Sample X44,302
D09,Sample X45,410
D10,Sample X46,284
D11,Sample X47,196
D12,Sample X48,199
E01,Sample X49,265
E02,Sample X50,261
E03,Sample X51,258
E04,Sample X52,522
E05,Sample X53,517
E06,Sample X54,521
E07,Sample X55,243
E08,Sample X56,229
E09,Sample X57,234
E10,Sample X58,327
E11,Sample X59,328
E12,Sample X60,329
F01,Sample X61,184
F02,Sample X62,187
F03,Sample X63,196
F04,Sample X64,528
F05,Sample X65,531
F06,Sample X66,517
F07,Sample X67,180
F08,Sample X68,200
F09,Sample X69,170
F10,Sample X70,367
F11,Sample X71,440
F12,Sample X72,400
G01,Sample X73,915
G02,Sample X74,905
G03,Sample X75,902
G04,Sample X76,2882
G05,Sample X77,2851
G06,Sample X78,2878
G07,Sample X79,1084
G08,Sample X80,1065
G09,Sample X81,1086
G10,Sample X82,1556
G11,Sample X83,1556
G12,Sample X84,1593
