User: USER,,
Path: C:\Program Files (x86)\BMG\CLARIOstar\User\Data\,,
Test ID: 369,,
Test Name: LUKA,,
Date: 28/10/2021,,
Time: 13:16:23,,
Fluorescence (FI),,
,,
,,
Well,Content, Raw Data (360-20/450-30)
A01,Sample X1,2004
A02,Sample X2,2091
A03,Sample X3,2102
A04,Sample X4,2322
A05,Sample X5,2347
A06,Sample X6,2407
A07,Sample X7,3723
A08,Sample X8,3357
A09,Sample X9,3290
A10,Sample X10,4460
A11,Sample X11,4587
A12,Sample X12,4541
B01,Sample X13,5504
B02,Sample X14,5937
B03,Sample X15,5874
B04,Sample X16,7907
B05,Sample X17,7351
B06,Sample X18,7456
B07,Sample X19,15394
B08,Sample X20,15986
B09,Sample X21,16197
B10,Sample X22,26044
B11,Sample X23,27447
B12,Sample X24,27389
C01,Sample X25,46433
C02,Sample X26,48926
C03,Sample X27,48495
C04,Sample X28,155304
C05,Sample X29,157046
C06,Sample X30,157039
C07,Sample X31,212116
C08,Sample X32,209660
C09,Sample X33,208067
C10,Sample X34,237924
C11,Sample X35,220899
C12,Sample X36,215402
D01,Sample X37,7823
D02,Sample X38,7240
D03,Sample X39,3922
D04,Sample X40,3342
D05,Sample X41,3219
D06,Sample X42,3533
D07,Sample X43,3882
D08,Sample X44,4446
D09,Sample X45,14066
D10,Sample X46,13402
D11,Sample X47,11230
D12,Sample X48,13636
E01,Sample X49,7904
E02,Sample X50,15394
E03,Sample X51,24310
E04,Sample X52,5515
E05,Sample X53,3869
E06,Sample X54,3623
E07,Sample X55,3694
E08,Sample X56,3202
E09,Sample X57,11347
E10,Sample X58,18487
E11,Sample X59,8541
E12,Sample X60,11974
F01,Sample X61,11555
F02,Sample X62,3826
F03,Sample X63,7785
F04,Sample X64,7712
F05,Sample X65,7288
F06,Sample X66,5648
F07,Sample X67,498
F08,Sample X68,277
F09,Sample X69,285
F10,Sample X70,913
F11,Sample X71,350
F12,Sample X72,311
