User: USER,,
Path: C:\Program Files (x86)\BMG\CLARIOstar\User\Data\,,
Test ID: 377,,
Test Name: LUKA,,
Date: 03/11/2021,,
Time: 12:13:18,,
Fluorescence (FI),,
,,
,,
Well,Content, Raw Data (360-20/450-30)
A01,Sample X1,136
A02,Sample X2,103
A03,Sample X3,101
A04,Sample X4,112
A05,Sample X5,108
A06,Sample X6,113
A07,Sample X7,1772
A08,Sample X8,2120
A09,Sample X9,1715
A10,Sample X10,2097
A11,Sample X11,2260
A12,Sample X12,2125
B01,Sample X13,2765
B02,Sample X14,2828
B03,Sample X15,2779
B04,Sample X16,3351
B05,Sample X17,3097
B06,Sample X18,3117
B07,Sample X19,4935
B08,Sample X20,5215
B09,Sample X21,4934
B10,Sample X22,6035
B11,Sample X23,6333
B12,Sample X24,6748
C01,Sample X25,12678
C02,Sample X26,13340
C03,Sample X27,13474
C04,Sample X28,27839
C05,Sample X29,28437
C06,Sample X30,28746
C07,Sample X31,50058
C08,Sample X32,51115
C09,Sample X33,50813
C10,Sample X34,84484
C11,Sample X35,86398
C12,Sample X36,86594
D01,Sample X37,159343
D02,Sample X38,164239
D03,Sample X39,165091
D04,Sample X40,233680
D05,Sample X41,233536
D06,Sample X42,236590
D07,Sample X43,7930
D08,Sample X44,7903
D09,Sample X45,7876
D10,Sample X46,6658
D11,Sample X47,6975
D12,Sample X48,7294
E01,Sample X49,2020
E02,Sample X50,2046
E03,Sample X51,1999
E04,Sample X52,4569
E05,Sample X53,4771
E06,Sample X54,4689
E07,Sample X55,8170
E08,Sample X56,8371
E09,Sample X57,7020
E10,Sample X58,7078
E11,Sample X59,1840
E12,Sample X60,2138
F01,Sample X61,4728
F02,Sample X62,4847
F03,Sample X63,4362
F04,Sample X64,3742
F05,Sample X65,3884
F06,Sample X66,3854
F07,Sample X67,3944
F08,Sample X68,2097
F09,Sample X69,2048
F10,Sample X70,2239
F11,Sample X71,2038
F12,Sample X72,2205
G01,Sample X73,3652
G02,Sample X74,3595
G03,Sample X75,3495
G04,Sample X76,3711
G05,Sample X77,3683
G06,Sample X78,4546
G07,Sample X79,4195
G08,Sample X80,4344
G09,Sample X81,4295
G10,Sample X82,4538
G11,Sample X83,582
G12,Sample X84,628
H01,Sample X85,1482
H02,Sample X86,1292
H03,Sample X87,817
H04,Sample X88,1428
