User: USER,,
Path: C:\Program Files (x86)\BMG\CLARIOstar\User\Data\,,
Test ID: 441,,
Test Name: LUKA,,
Date: 26/11/2021,,
Time: 09:50:17,,
Fluorescence (FI),,
,,
,,
Well,Content, Raw Data (360-20/450-30)
A01,Sample X1,7313
A02,Sample X2,888
A03,Sample X3,872
A04,Sample X4,2098
A05,Sample X5,2016
A06,Sample X6,1895
A07,Sample X7,3597
A08,Sample X8,3659
A09,Sample X9,3677
A10,Sample X10,5148
A11,Sample X11,5275
A12,Sample X12,5211
B01,Sample X13,6455
B02,Sample X14,6722
B03,Sample X15,7061
B04,Sample X16,13365
B05,Sample X17,12782
B06,Sample X18,12744
B07,Sample X19,30592
B08,Sample X20,29531
B09,Sample X21,30021
B10,Sample X22,54198
B11,Sample X23,55298
B12,Sample X24,55209
C01,Sample X25,115054
C02,Sample X26,115664
C03,Sample X27,114406
C04,Sample X28,180024
C05,Sample X29,179412
C06,Sample X30,177303
C07,Sample X31,219093
C08,Sample X32,212342
C09,Sample X33,220045
C10,Sample X34,235808
C11,Sample X35,227744
C12,Sample X36,226980
D01,Sample X37,7518
D02,Sample X38,7241
D03,Sample X39,7091
D04,Sample X40,7265
D05,Sample X41,7218
D06,Sample X42,17201
D07,Sample X43,16965
D08,Sample X44,17264
D09,Sample X45,16863
D10,Sample X46,17187
D11,Sample X47,15588
D12,Sample X48,15134
E01,Sample X49,15533
E02,Sample X50,15816
E03,Sample X51,15373
E04,Sample X52,1217
E05,Sample X53,1241
E06,Sample X54,960
E07,Sample X55,893
E08,Sample X56,910
E09,Sample X57,772
E10,Sample X58,788
E11,Sample X59,1125
E12,Sample X60,783
F01,Sample X61,818
F02,Sample X62,729
F03,Sample X63,725
F04,Sample X64,758
F05,Sample X65,802
F06,Sample X66,767
F07,Sample X67,741
F08,Sample X68,731
F09,Sample X69,739
F10,Sample X70,746
F11,Sample X71,956
F12,Sample X72,793
G01,Sample X73,988
G02,Sample X74,946
G03,Sample X75,820
G04,Sample X76,819
G05,Sample X77,746
G06,Sample X78,1435
G07,Sample X79,731
G08,Sample X80,1230
G09,Sample X81,784
G10,Sample X82,224
G11,Sample X83,403
G12,Sample X84,167
H01,Sample X85,196
H02,Sample X86,382
H03,Sample X87,622
H04,Sample X88,630
H05,Sample X89,651
H06,Sample X90,732
