User: USER,,
Path: C:\Program Files (x86)\BMG\CLARIOstar\User\Data\,,
Test ID: 431,,
Test Name: LUKA,,
Date: 23/11/2021,,
Time: 12:07:46,,
Fluorescence (FI),,
,,
,,
Well,Content, Raw Data (360-20/450-30)
A01,Sample X1,673
A02,Sample X2,635
A03,Sample X3,630
A04,Sample X4,1985
A05,Sample X5,2293
A06,Sample X6,2188
A07,Sample X7,3756
A08,Sample X8,4317
A09,Sample X9,3858
A10,Sample X10,5550
A11,Sample X11,5692
A12,Sample X12,5689
B01,Sample X13,6970
B02,Sample X14,7176
B03,Sample X15,7516
B04,Sample X16,13396
B05,Sample X17,13773
B06,Sample X18,13866
B07,Sample X19,31774
B08,Sample X20,32378
B09,Sample X21,32245
B10,Sample X22,57471
B11,Sample X23,58998
B12,Sample X24,59579
C01,Sample X25,117790
C02,Sample X26,119548
C03,Sample X27,120167
C04,Sample X28,183551
C05,Sample X29,183031
C06,Sample X30,182888
C07,Sample X31,219517
C08,Sample X32,219201
C09,Sample X33,218179
C10,Sample X34,235034
C11,Sample X35,230788
C12,Sample X36,229269
D01,Sample X37,3262
D02,Sample X38,3419
D03,Sample X39,3279
D04,Sample X40,3243
D05,Sample X41,3228
D06,Sample X42,1927
D07,Sample X43,1934
D08,Sample X44,1951
D09,Sample X45,1925
D10,Sample X46,1916
D11,Sample X47,824
D12,Sample X48,768
E01,Sample X49,778
E02,Sample X50,794
E03,Sample X51,821
E04,Sample X52,731
E05,Sample X53,729
E06,Sample X54,804
E07,Sample X55,749
E08,Sample X56,744
E09,Sample X57,737
E10,Sample X58,736
E11,Sample X59,1104
E12,Sample X60,737
F01,Sample X61,742
F02,Sample X62,789
F03,Sample X63,786
F04,Sample X64,780
F05,Sample X65,784
F06,Sample X66,794
F07,Sample X67,816
F08,Sample X68,802
F09,Sample X69,804
F10,Sample X70,735
F11,Sample X71,815
F12,Sample X72,789
G01,Sample X73,787
G02,Sample X74,796
G03,Sample X75,783
G04,Sample X76,806
G05,Sample X77,161
G06,Sample X78,154
G07,Sample X79,164
G08,Sample X80,159
G09,Sample X81,152
G10,Sample X82,153
G11,Sample X83,150
G12,Sample X84,150
H01,Sample X85,158
H02,Sample X86,156
H03,Sample X87,660
H04,Sample X88,663
H05,Sample X89,666
H06,Sample X90,683
H07,Sample X91,674
H08,Sample X92,659
H09,Sample X93,650
