User: USER,,
Path: C:\Program Files (x86)\BMG\CLARIOstar\User\Data\,,
Test ID: 383,,
Test Name: LUKA,,
Date: 03/11/2021,,
Time: 13:24:28,,
Fluorescence (FI),,
,,
,,
Well,Content, Raw Data (360-20/450-30)
A01,Sample X1,119
A02,Sample X2,114
A03,Sample X3,130
A04,Sample X4,118
A05,Sample X5,140
A06,Sample X6,150
A07,Sample X7,1637
A08,Sample X8,1634
A09,Sample X9,1947
A10,Sample X10,2134
A11,Sample X11,2187
A12,Sample X12,2177
B01,Sample X13,2587
B02,Sample X14,2879
B03,Sample X15,2722
B04,Sample X16,3175
B05,Sample X17,3025
B06,Sample X18,3142
B07,Sample X19,4808
B08,Sample X20,4852
B09,Sample X21,4997
B10,Sample X22,6245
B11,Sample X23,6167
B12,Sample X24,6159
C01,Sample X25,12246
C02,Sample X26,12504
C03,Sample X27,12767
C04,Sample X28,25886
C05,Sample X29,26415
C06,Sample X30,26682
C07,Sample X31,46162
C08,Sample X32,45804
C09,Sample X33,45504
C10,Sample X34,84537
C11,Sample X35,83106
C12,Sample X36,82672
D01,Sample X37,157281
D02,Sample X38,161578
D03,Sample X39,158865
D04,Sample X40,234116
D05,Sample X41,236456
D06,Sample X42,236997
D07,Sample X43,18209
D08,Sample X44,18271
D09,Sample X45,18576
D10,Sample X46,19303
D11,Sample X47,19181
D12,Sample X48,33188
E01,Sample X49,32752
E02,Sample X50,31942
E03,Sample X51,32905
E04,Sample X52,32598
E05,Sample X53,8008
E06,Sample X54,8093
E07,Sample X55,8077
E08,Sample X56,8124
E09,Sample X57,8108
E10,Sample X58,11616
E11,Sample X59,11887
E12,Sample X60,11747
F01,Sample X61,11930
F02,Sample X62,11966
F03,Sample X63,16103
F04,Sample X64,15263
F05,Sample X65,14782
F06,Sample X66,15264
F07,Sample X67,15692
F08,Sample X68,90279
F09,Sample X69,90089
F10,Sample X70,91309
F11,Sample X71,90661
F12,Sample X72,92293
G01,Sample X73,17004
G02,Sample X74,14937
G03,Sample X75,14765
G04,Sample X76,14527
G05,Sample X77,14689
G06,Sample X78,11598
G07,Sample X79,11586
G08,Sample X80,11592
G09,Sample X81,11788
G10,Sample X82,11793
G11,Sample X83,803
G12,Sample X84,587
H01,Sample X85,607
H02,Sample X86,664
H03,Sample X87,667
H04,Sample X88,659
