User: USER,,
Path: C:\Program Files (x86)\BMG\CLARIOstar\User\Data\,,
Test ID: 416,,
Test Name: LUKA,,
Date: 19/11/2021,,
Time: 10:29:15,,
Fluorescence (FI),,
,,
,,
Well,Content, Raw Data (360-20/450-30)
A01,Sample X1,2542
A02,Sample X2,2366
A03,Sample X3,2394
A04,Sample X4,4257
A05,Sample X5,3715
A06,Sample X6,3730
A07,Sample X7,4965
A08,Sample X8,5354
A09,Sample X9,5311
A10,Sample X10,6788
A11,Sample X11,7187
A12,Sample X12,6840
B01,Sample X13,8002
B02,Sample X14,8118
B03,Sample X15,8315
B04,Sample X16,12496
B05,Sample X17,12618
B06,Sample X18,12726
B07,Sample X19,30220
B08,Sample X20,31105
B09,Sample X21,31336
B10,Sample X22,55564
B11,Sample X23,56395
B12,Sample X24,56598
C01,Sample X25,115365
C02,Sample X26,117102
C03,Sample X27,117091
C04,Sample X28,180164
C05,Sample X29,178407
C06,Sample X30,178227
C07,Sample X31,219181
C08,Sample X32,214598
C09,Sample X33,215334
C10,Sample X34,235717
C11,Sample X35,224441
C12,Sample X36,227802
D01,Sample X37,5809
D02,Sample X38,3652
D03,Sample X39,3308
D04,Sample X40,3279
D05,Sample X41,3366
D06,Sample X42,2165
D07,Sample X43,6699
D08,Sample X44,4328
D09,Sample X45,4078
D10,Sample X46,4051
D11,Sample X47,3349
D12,Sample X48,2716
E01,Sample X49,2945
E02,Sample X50,2796
E03,Sample X51,2699
E04,Sample X52,1900
E05,Sample X53,2600
E06,Sample X54,2220
E07,Sample X55,1761
E08,Sample X56,1765
E09,Sample X57,3932
E10,Sample X58,2284
E11,Sample X59,2120
E12,Sample X60,2108
F01,Sample X61,1892
F02,Sample X62,1522
F03,Sample X63,1951
F04,Sample X64,1809
F05,Sample X65,1497
F06,Sample X66,2110
F07,Sample X67,2802
F08,Sample X68,1744
F09,Sample X69,1791
F10,Sample X70,2106
F11,Sample X71,1684
F12,Sample X72,2235
G01,Sample X73,1772
G02,Sample X74,1701
G03,Sample X75,1696
G04,Sample X76,1764
G05,Sample X77,787
G06,Sample X78,233
G07,Sample X79,185
G08,Sample X80,189
G09,Sample X81,153
G10,Sample X82,482
G11,Sample X83,500
G12,Sample X84,514
